Time Scale; Number of Packets; Total data; 
1; 5924744; 296957223.000000; 
2; 975988; 48923778.000000; 
3; 980968; 49174304.000000; 
4; 981379; 49189245.000000; 
5; 979982; 49122374.000000; 
6; 978747; 49076057.000000; 
7; 961220; 48168403.000000; 
8; 959380; 48078177.000000; 
9; 963250; 48283516.000000; 
10; 958565; 48042191.000000; 
11; 967627; 48487739.000000; 
12; 958848; 48053688.000000; 
13; 970706; 48680721.000000; 
14; 975900; 48918023.000000; 
15; 976198; 48924259.000000; 
16; 973822; 48808322.000000; 
17; 942992; 47268629.000000; 
18; 972130; 48737533.000000; 
19; 936047; 46931631.000000; 
20; 964296; 48335024.000000; 
21; 971512; 48688908.000000; 
22; 972270; 48732400.000000; 
23; 973938; 48803193.000000; 
24; 979087; 49059785.000000; 
25; 976335; 48946283.000000; 
26; 971020; 48667677.000000; 
27; 968917; 48562643.000000; 
28; 973899; 48807744.000000; 
29; 969637; 48595730.000000; 
30; 976274; 48932638.000000; 
31; 952599; 47745429.000000; 
32; 929751; 46602482.000000; 
33; 975182; 48868966.000000; 
34; 973407; 48802749.000000; 
35; 971920; 48699356.000000; 
36; 965919; 48408512.000000; 
37; 922347; 46229716.000000; 
38; 936671; 46931351.000000; 
39; 907230; 45476853.000000; 
40; 970483; 48633620.000000; 
41; 968567; 48545110.000000; 
42; 956240; 47937744.000000; 
43; 938219; 47024289.000000; 
44; 933078; 46761169.000000; 
45; 923161; 46255595.000000; 
46; 908511; 45543843.000000; 
47; 844438; 42316063.000000; 
48; 908194; 45518094.000000; 
49; 888789; 44541889.000000; 
50; 884348; 44322595.000000; 
51; 853155; 42765790.000000; 
52; 922691; 46242654.000000; 
53; 916120; 45908874.000000; 
54; 816889; 40941436.000000; 
55; 932542; 46742549.000000; 
56; 928265; 46515479.000000; 
57; 934205; 46822115.000000; 
58; 966618; 48469917.000000; 
59; 972500; 48742443.000000; 
60; 978739; 49028804.000000; 
61; 944066; 47323945.000000; 
62; 952094; 47721406.000000; 
63; 977004; 48967718.000000; 
64; 974341; 48839802.000000; 
65; 968930; 48561005.000000; 
66; 978743; 49062330.000000; 
67; 975915; 48901128.000000; 
68; 974317; 48850059.000000; 
69; 935682; 46887943.000000; 
70; 936000; 46913361.000000; 
71; 940186; 47119006.000000; 
72; 960751; 48167267.000000; 
73; 957205; 47990715.000000; 
74; 968708; 48559665.000000; 
75; 884408; 44333222.000000; 
76; 895827; 44908127.000000; 
77; 928866; 46550233.000000; 
78; 971357; 48698984.000000; 
79; 972404; 48732067.000000; 
80; 978823; 49058066.000000; 
81; 973071; 48765359.000000; 
82; 965660; 48401799.000000; 
83; 968463; 48534997.000000; 
84; 952897; 47767860.000000; 
85; 959948; 48135237.000000; 
86; 972106; 48740622.000000; 
87; 909036; 45549569.000000; 
88; 940797; 47140388.000000; 
89; 969866; 48609090.000000; 
90; 963359; 48286538.000000; 
91; 975230; 48891314.000000; 
92; 975515; 48893682.000000; 
93; 973389; 48802324.000000; 
94; 975731; 48905566.000000; 
95; 975617; 48903161.000000; 
96; 977497; 48980210.000000; 
97; 971446; 48698339.000000; 
98; 972441; 48733926.000000; 
99; 974996; 48853248.000000; 
100; 975918; 48921515.000000; 
101; 867567; 43483239.000000; 
102; 903378; 45272036.000000; 
103; 896100; 44902979.000000; 
104; 898138; 45026438.000000; 
105; 880721; 44150972.000000; 
106; 907140; 45466462.000000; 
107; 931153; 46666051.000000; 
108; 949959; 47626485.000000; 
109; 884525; 44336791.000000; 
110; 925478; 46387576.000000; 
111; 931873; 46719509.000000; 
112; 884089; 44312139.000000; 
113; 936279; 46924844.000000; 
114; 917434; 45986933.000000; 
115; 941446; 47190909.000000; 
116; 927124; 46456591.000000; 
117; 934020; 46806046.000000; 
118; 930728; 46649805.000000; 
119; 932182; 46746107.000000; 
120; 933450; 46783245.000000; 
121; 928758; 46551802.000000; 
122; 946360; 47427631.000000; 
123; 936382; 46938352.000000; 
124; 934196; 46835024.000000; 
125; 927237; 46496025.000000; 
126; 942582; 47242680.000000; 
127; 957483; 47984405.000000; 
128; 945109; 47374286.000000; 
129; 932196; 46710148.000000; 
130; 937139; 46958847.000000; 
131; 924100; 46324230.000000; 
132; 943012; 47263147.000000; 
133; 938960; 47061510.000000; 
134; 962648; 48243558.000000; 
135; 943954; 47310635.000000; 
136; 930118; 46611843.000000; 
137; 930266; 46634425.000000; 
138; 937018; 46969955.000000; 
139; 928149; 46517916.000000; 
140; 944337; 47329194.000000; 
141; 961053; 48167188.000000; 
142; 938421; 47028271.000000; 
143; 930228; 46623559.000000; 
144; 935748; 46892573.000000; 
145; 941195; 47163818.000000; 
146; 938881; 47066948.000000; 
147; 965160; 48356435.000000; 
148; 950540; 47651264.000000; 
149; 921317; 46178468.000000; 
150; 939365; 47079095.000000; 
151; 915395; 45871889.000000; 
152; 938554; 47043742.000000; 
153; 940053; 47115304.000000; 
154; 941053; 47163093.000000; 
155; 956263; 47928692.000000; 
156; 944954; 47357165.000000; 
157; 942113; 47224166.000000; 
158; 944100; 47309289.000000; 
159; 930812; 46647605.000000; 
160; 945847; 47403921.000000; 
161; 967579; 48498947.000000; 
162; 965654; 48388075.000000; 
163; 955853; 47913764.000000; 
164; 940700; 47163174.000000; 
165; 930609; 46645657.000000; 
166; 935482; 46862654.000000; 
167; 943690; 47303306.000000; 
