Simulation Time(s); Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
0; 5; 91; 13.320720; 5.000000; 91; 13.320720;
0; 0; 88; 10.633318; 4.000000; 88; 10.633318;
0; 19; 78; 44.428150; 33.000000; 78; 44.428150;
0; 3; 76; 17.507008; 21.000000; 76; 21.000000;
0; 6; 72; 12.545666; 9.000000; 72; 12.545666;
0; 9; 71; 48.613224; 22.000000; 71; 48.613224;
0; 4; 71; 10.633318; 8.000000; 71; 10.633318;
0; 14; 68; 46.231593; 55.000000; 68; 55.000000;
0; 8; 56; 15.746707; 2.000000; 56; 15.746707;
0; 16; 55; 45.049253; 32.000000; 55; 45.049253;
0; 10; 52; 46.490700; 1.000000; 52; 46.490700;
0; 15; 52; 18.081654; 26.000000; 52; 26.000000;
0; 1; 44; 45.782420; 8.000000; 44; 45.782420;
0; 18; 41; 17.640365; 7.000000; 41; 17.640365;
0; 2; 38; 40.577706; 16.000000; 38; 40.577706;
0; 12; 35; 46.139912; 63.000000; 35; 51.158239;
0; 11; 26; 45.633142; 25.000000; 26; 45.633142;
0; 17; 25; 17.707571; 22.000000; 25; 17.707571;
0; 7; 18; 15.486326; 11.000000; 18; 15.486326;
0; 13; 7; 16.553175; 9.000000; 7; 16.553175;



1; 5; 91; 13.449691; 13.320720; 91; 13.449691;
1; 0; 88; 5.867886; 10.633318; 88; 10.633318;
1; 19; 78; 47.652083; 44.428150; 78; 47.652083;
1; 3; 76; 17.601140; 21.000000; 76; 21.000000;
1; 6; 72; 5.181879; 12.545666; 72; 12.545666;
1; 9; 71; 48.659646; 48.613224; 71; 48.659646;
1; 4; 71; 5.867886; 10.633318; 71; 10.633318;
1; 14; 68; 45.874508; 55.000000; 68; 55.000000;
1; 8; 56; 14.391512; 15.746707; 56; 15.746707;
1; 16; 55; 44.668296; 45.049253; 55; 45.049253;
1; 10; 52; 46.622493; 46.490700; 52; 46.622493;
1; 15; 52; 18.435987; 26.000000; 52; 26.000000;
1; 1; 44; 45.700460; 45.782420; 44; 45.782420;
1; 18; 41; 18.517925; 17.640365; 41; 18.517925;
1; 2; 38; 40.490464; 40.577706; 38; 40.577706;
1; 12; 35; 45.589092; 51.158239; 35; 46.097547;
1; 11; 26; 46.103980; 45.633142; 26; 46.103980;
1; 17; 25; 19.711780; 17.707571; 25; 19.711780;
1; 7; 18; 14.301721; 15.486326; 18; 14.301721;
1; 13; 7; 15.914746; 16.553175; 7; 15.914746;



2; 5; 91; 13.131981; 13.449691; 91; 13.449691;
2; 0; 88; 4.700655; 10.633318; 88; 10.633318;
2; 19; 78; 44.401087; 47.652083; 78; 47.652083;
2; 3; 76; 15.794633; 21.000000; 76; 21.000000;
2; 6; 72; 6.799704; 12.545666; 72; 12.545666;
2; 9; 71; 48.568268; 48.659646; 71; 48.659646;
2; 4; 71; 4.700655; 10.633318; 71; 10.633318;
2; 14; 68; 45.178491; 55.000000; 68; 55.000000;
2; 8; 56; 14.644640; 15.746707; 56; 15.746707;
2; 16; 55; 48.000934; 45.049253; 55; 48.000934;
2; 10; 52; 46.107415; 46.622493; 52; 46.622493;
2; 15; 52; 16.714554; 26.000000; 52; 25.167112;
2; 1; 44; 45.683152; 45.782420; 44; 45.683152;
2; 18; 41; 18.921503; 18.517925; 41; 18.921503;
2; 2; 38; 36.418176; 40.577706; 38; 36.418176;
2; 12; 35; 47.885726; 46.097547; 35; 47.885726;
2; 11; 26; 46.268448; 46.103980; 26; 46.268448;
2; 17; 25; 16.738065; 19.711780; 25; 16.738065;
2; 7; 18; 17.533307; 14.301721; 18; 17.533307;
2; 13; 7; 15.440655; 15.914746; 7; 15.440655;



3; 5; 91; 12.670188; 13.449691; 91; 13.449691;
3; 0; 88; 10.319821; 10.633318; 88; 10.633318;
3; 19; 78; 47.968148; 47.652083; 78; 47.968148;
3; 3; 76; 18.084805; 21.000000; 76; 21.000000;
3; 6; 72; 9.579641; 12.545666; 72; 12.545666;
3; 9; 71; 48.899812; 48.659646; 71; 48.899812;
3; 4; 71; 10.319821; 10.633318; 71; 10.633318;
3; 14; 68; 45.868463; 55.000000; 68; 55.000000;
3; 8; 56; 15.085662; 15.746707; 56; 15.746707;
3; 16; 55; 45.888131; 48.000934; 55; 48.000934;
3; 10; 52; 45.003765; 46.622493; 52; 46.622493;
3; 15; 52; 18.892626; 25.167112; 52; 25.167112;
3; 1; 44; 45.859293; 45.683152; 44; 45.859293;
3; 18; 41; 16.783593; 18.921503; 41; 18.872638;
3; 2; 38; 37.179621; 36.418176; 38; 37.179621;
3; 12; 35; 46.604820; 47.885726; 35; 46.604820;
3; 11; 26; 45.982426; 46.268448; 26; 45.982426;
3; 17; 25; 18.330839; 16.738065; 25; 18.330839;
3; 7; 18; 16.699572; 17.533307; 18; 16.699572;
3; 13; 7; 14.803592; 15.440655; 7; 14.803592;



4; 5; 91; 11.014977; 13.449691; 91; 13.449691;
4; 0; 88; 10.437630; 10.633318; 88; 10.633318;
4; 19; 78; 45.901539; 47.968148; 78; 47.968148;
4; 3; 76; 18.807772; 21.000000; 76; 21.000000;
4; 6; 72; 8.483799; 12.545666; 72; 12.545666;
4; 9; 71; 48.475687; 48.899812; 71; 48.899812;
4; 4; 71; 10.437630; 10.633318; 71; 10.633318;
4; 14; 68; 48.043459; 55.000000; 68; 55.000000;
4; 8; 56; 15.174835; 15.746707; 56; 15.746707;
4; 16; 55; 46.537486; 48.000934; 55; 48.000934;
4; 10; 52; 46.071853; 46.622493; 52; 46.622493;
4; 15; 52; 19.055508; 25.167112; 52; 25.167112;
4; 1; 44; 45.994352; 45.859293; 44; 45.994352;
4; 18; 41; 18.188646; 18.872638; 41; 18.872638;
4; 2; 38; 37.758067; 37.179621; 38; 37.758067;
4; 12; 35; 45.712173; 46.604820; 35; 45.873825;
4; 11; 26; 47.289818; 45.982426; 26; 47.289818;
4; 17; 25; 17.016533; 18.330839; 25; 17.016533;
4; 7; 18; 14.730515; 16.699572; 18; 14.730515;
