Simulation Time(s); Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
0; 3; 97; 17.507008; 3.000000; 97; 17.507008;
0; 19; 95; 44.428150; 1.000000; 95; 44.428150;
0; 16; 94; 45.049253; 1.000000; 94; 45.049253;
0; 2; 94; 40.577706; 11.000000; 94; 40.577706;
0; 6; 90; 12.545666; 2.000000; 90; 12.545666;
0; 11; 88; 45.633142; 3.000000; 88; 45.633142;
0; 10; 80; 46.490700; 12.000000; 80; 46.490700;
0; 15; 76; 18.081654; 8.000000; 76; 18.081654;
0; 5; 64; 13.320720; 4.000000; 64; 13.320720;
0; 8; 60; 15.746707; 6.000000; 60; 15.746707;
0; 17; 55; 17.707571; 7.000000; 55; 17.707571;
0; 7; 46; 15.486326; 6.000000; 46; 15.486326;
0; 12; 40; 46.139912; 12.000000; 40; 46.139912;
0; 1; 39; 45.782420; 12.000000; 39; 45.782420;
0; 14; 35; 46.231593; 20.000000; 35; 46.231593;
0; 18; 34; 17.640365; 2.000000; 34; 17.640365;
0; 13; 34; 16.553175; 7.000000; 34; 16.553175;
0; 0; 33; 10.633318; 4.000000; 33; 10.633318;
0; 4; 32; 10.633318; 1.000000; 32; 10.633318;
0; 9; 9; 48.613224; 6.000000; 9; 48.613224;



1; 3; 97; 17.601140; 17.507008; 97; 17.601140;
1; 19; 95; 47.652083; 44.428150; 95; 47.652083;
1; 16; 94; 44.668296; 45.049253; 94; 45.049253;
1; 2; 94; 40.490464; 40.577706; 94; 40.577706;
1; 6; 90; 5.181879; 12.545666; 90; 12.545666;
1; 11; 88; 46.103980; 45.633142; 88; 46.103980;
1; 10; 80; 46.622493; 46.490700; 80; 46.622493;
1; 15; 76; 18.435987; 18.081654; 76; 18.435987;
1; 5; 64; 13.449691; 13.320720; 64; 13.449691;
1; 8; 60; 14.391512; 15.746707; 60; 15.746707;
1; 17; 55; 19.711780; 17.707571; 55; 19.711780;
1; 7; 46; 14.301721; 15.486326; 46; 15.486326;
1; 12; 40; 45.589092; 46.139912; 40; 46.139912;
1; 1; 39; 45.700460; 45.782420; 39; 45.782420;
1; 14; 35; 45.874508; 46.231593; 35; 46.231593;
1; 18; 34; 18.517925; 17.640365; 34; 18.517925;
1; 13; 34; 15.914746; 16.553175; 34; 16.553175;
1; 0; 33; 5.867886; 10.633318; 33; 10.633318;
1; 4; 32; 5.867886; 10.633318; 32; 10.633318;
1; 9; 9; 48.659646; 48.613224; 9; 48.659646;



2; 3; 97; 15.794633; 17.601140; 97; 17.601140;
2; 19; 95; 44.401087; 47.652083; 95; 47.652083;
2; 16; 94; 48.000934; 45.049253; 94; 48.000934;
2; 2; 94; 36.418176; 40.577706; 94; 40.577706;
2; 6; 90; 6.799704; 12.545666; 90; 12.545666;
2; 11; 88; 46.268448; 46.103980; 88; 46.268448;
2; 10; 80; 46.107415; 46.622493; 80; 46.622493;
2; 15; 76; 16.714554; 18.435987; 76; 18.435987;
2; 5; 64; 13.131981; 13.449691; 64; 13.449691;
2; 8; 60; 14.644640; 15.746707; 60; 15.746707;
2; 17; 55; 16.738065; 19.711780; 55; 19.711780;
2; 7; 46; 17.533307; 15.486326; 46; 17.533307;
2; 12; 40; 47.885726; 46.139912; 40; 47.885726;
2; 1; 39; 45.683152; 45.782420; 39; 45.782420;
2; 14; 35; 45.178491; 46.231593; 35; 46.231593;
2; 18; 34; 18.921503; 18.517925; 34; 18.921503;
2; 13; 34; 15.440655; 16.553175; 34; 16.553175;
2; 0; 33; 4.700655; 10.633318; 33; 10.633318;
2; 4; 32; 4.700655; 10.633318; 32; 10.633318;
2; 9; 9; 48.568268; 48.659646; 9; 48.659646;



3; 3; 97; 18.084805; 17.601140; 97; 18.084805;
3; 19; 95; 47.968148; 47.652083; 95; 47.968148;
3; 16; 94; 45.888131; 48.000934; 94; 48.000934;
3; 2; 94; 37.179621; 40.577706; 94; 40.577706;
3; 6; 90; 9.579641; 12.545666; 90; 12.545666;
3; 11; 88; 45.982426; 46.268448; 88; 46.268448;
3; 10; 80; 45.003765; 46.622493; 80; 46.622493;
3; 15; 76; 18.892626; 18.435987; 76; 18.892626;
3; 5; 64; 12.670188; 13.449691; 64; 13.449691;
3; 8; 60; 15.085662; 15.746707; 60; 15.746707;
3; 17; 55; 18.330839; 19.711780; 55; 19.711780;
3; 7; 46; 16.699572; 17.533307; 46; 17.533307;
3; 12; 40; 46.604820; 47.885726; 40; 47.885726;
3; 1; 39; 45.859293; 45.782420; 39; 45.859293;
3; 14; 35; 45.868463; 46.231593; 35; 46.231593;
3; 18; 34; 16.783593; 18.921503; 34; 18.921503;
3; 13; 34; 14.803592; 16.553175; 34; 16.553175;
3; 0; 33; 10.319821; 10.633318; 33; 10.633318;
3; 4; 32; 10.319821; 10.633318; 32; 10.633318;
3; 9; 9; 48.899812; 48.659646; 9; 48.899812;



4; 3; 97; 18.807772; 18.084805; 97; 18.807772;
4; 19; 95; 45.901539; 47.968148; 95; 47.968148;
4; 16; 94; 46.537486; 48.000934; 94; 48.000934;
4; 2; 94; 37.758067; 40.577706; 94; 40.577706;
4; 6; 90; 8.483799; 12.545666; 90; 12.545666;
4; 11; 88; 47.289818; 46.268448; 88; 47.289818;
4; 10; 80; 46.071853; 46.622493; 80; 46.622493;
4; 15; 76; 19.055508; 18.892626; 76; 19.055508;
4; 5; 64; 11.014977; 13.449691; 64; 13.449691;
4; 8; 60; 15.174835; 15.746707; 60; 15.746707;
4; 17; 55; 17.016533; 19.711780; 55; 19.711780;
4; 7; 46; 14.730515; 17.533307; 46; 17.533307;
4; 12; 40; 45.712173; 47.885726; 40; 47.885726;
4; 1; 39; 45.994352; 45.859293; 39; 45.994352;
4; 14; 35; 48.043459; 46.231593; 35; 48.043459;
4; 18; 34; 18.188646; 18.921503; 34; 18.921503;
4; 13; 34; 16.797053; 16.553175; 34; 16.797053;
4; 0; 33; 10.437630; 10.633318; 33; 10.633318;
4; 4; 32; 10.437630; 10.633318; 32; 10.633318;
4; 9; 9; 48.475687; 48.899812; 9; 48.899812;



5; 3; 97; 18.039921; 18.807772; 97; 18.807772;
5; 19; 95; 48.143409; 47.968148; 95; 48.143409;
5; 16; 94; 44.002164; 48.000934; 94; 48.000934;
5; 2; 94; 39.611404; 40.577706; 94; 40.577706;
5; 6; 90; 6.809280; 12.545666; 90; 12.545666;
5; 11; 88; 46.236111; 47.289818; 88; 47.289818;
5; 10; 80; 45.703511; 46.622493; 80; 46.622493;
5; 15; 76; 16.598477; 19.055508; 76; 19.055508;
5; 5; 64; 10.280987; 13.449691; 64; 13.449691;
5; 8; 60; 16.731394; 15.746707; 60; 16.731394;
5; 17; 55; 15.629799; 19.711780; 55; 19.711780;
5; 7; 46; 17.181472; 17.533307; 46; 17.533307;
5; 12; 40; 45.812170; 47.885726; 40; 47.885726;
5; 1; 39; 45.945362; 45.994352; 39; 45.994352;
5; 14; 35; 45.964571; 48.043459; 35; 48.043459;
5; 18; 34; 17.806390; 18.921503; 34; 18.921503;
5; 13; 34; 13.608951; 16.797053; 34; 16.797053;
5; 0; 33; 11.496260; 10.633318; 33; 11.496260;
5; 4; 32; 11.496260; 10.633318; 32; 11.496260;
5; 9; 9; 48.402075; 48.899812; 9; 48.899812;



6; 3; 97; 17.375608; 18.807772; 97; 18.807772;
6; 19; 95; 45.208699; 48.143409; 95; 48.143409;
6; 16; 94; 48.164724; 48.000934; 94; 48.164724;
6; 2; 94; 38.422869; 40.577706; 94; 40.577706;
6; 6; 90; 10.788559; 12.545666; 90; 12.545666;
6; 11; 88; 46.732054; 47.289818; 88; 47.289818;
6; 10; 80; 45.450506; 46.622493; 80; 46.622493;
6; 15; 76; 16.383671; 19.055508; 76; 19.055508;
6; 5; 64; 11.838022; 13.449691; 64; 13.449691;
6; 8; 60; 16.193167; 16.731394; 60; 16.731394;
6; 17; 55; 18.133808; 19.711780; 55; 19.711780;
6; 7; 46; 16.364039; 17.533307; 46; 17.533307;
6; 12; 40; 46.175892; 47.885726; 40; 47.885726;
6; 1; 39; 46.044836; 45.994352; 39; 46.044836;
6; 14; 35; 47.204408; 48.043459; 35; 48.043459;
6; 18; 34; 19.352776; 18.921503; 34; 19.352776;
6; 13; 34; 16.654067; 16.797053; 34; 16.797053;
6; 0; 33; 7.331457; 11.496260; 33; 11.496260;
6; 4; 32; 7.331457; 11.496260; 32; 11.496260;
6; 9; 9; 48.283509; 48.899812; 9; 48.899812;



7; 3; 97; 19.091818; 18.807772; 97; 19.091818;
7; 19; 95; 45.330505; 48.143409; 95; 48.143409;
7; 16; 94; 44.436878; 48.164724; 94; 48.164724;
7; 2; 94; 38.202676; 40.577706; 94; 40.577706;
7; 6; 90; 10.209362; 12.545666; 90; 12.545666;
7; 11; 88; 45.946198; 47.289818; 88; 47.289818;
7; 10; 80; 46.273287; 46.622493; 80; 46.622493;
7; 15; 76; 16.908460; 19.055508; 76; 19.055508;
7; 5; 64; 13.511726; 13.449691; 64; 13.511726;
7; 8; 60; 14.840599; 16.731394; 60; 16.731394;
7; 17; 55; 17.345230; 19.711780; 55; 19.711780;
7; 7; 46; 16.104321; 17.533307; 46; 17.533307;
7; 12; 40; 45.996760; 47.885726; 40; 47.885726;
7; 1; 39; 45.330073; 46.044836; 39; 46.044836;
7; 14; 35; 46.297409; 48.043459; 35; 48.043459;
7; 18; 34; 17.422482; 19.352776; 34; 19.352776;
7; 13; 34; 16.388110; 16.797053; 34; 16.797053;
7; 0; 33; 0.515403; 11.496260; 33; 11.496260;
7; 4; 32; 0.515403; 11.496260; 32; 11.496260;
7; 9; 9; 48.459370; 48.899812; 9; 48.899812;



8; 3; 97; 18.137643; 19.091818; 97; 19.091818;
8; 19; 95; 45.178079; 48.143409; 95; 48.143409;
8; 16; 94; 45.203623; 48.164724; 94; 48.164724;
8; 2; 94; 39.851097; 40.577706; 94; 40.577706;
8; 6; 90; 7.739699; 12.545666; 90; 12.545666;
8; 11; 88; 45.686555; 47.289818; 88; 47.289818;
8; 10; 80; 46.056332; 46.622493; 80; 46.622493;
8; 15; 76; 16.791617; 19.055508; 76; 19.055508;
8; 5; 64; 13.070223; 13.511726; 64; 13.511726;
8; 8; 60; 14.811117; 16.731394; 60; 16.731394;
8; 17; 55; 18.448275; 19.711780; 55; 19.711780;
8; 7; 46; 15.892295; 17.533307; 46; 17.533307;
8; 12; 40; 46.186832; 47.885726; 40; 47.885726;
8; 1; 39; 44.980899; 46.044836; 39; 46.044836;
8; 14; 35; 45.233228; 48.043459; 35; 48.043459;
8; 18; 34; 17.593950; 19.352776; 34; 19.352776;
8; 13; 34; 17.474671; 16.797053; 34; 17.474671;
8; 0; 33; 7.048983; 11.496260; 33; 11.496260;
8; 4; 32; 7.048983; 11.496260; 32; 11.496260;
8; 9; 9; 48.359814; 48.899812; 9; 48.899812;



9; 3; 97; 18.583631; 19.091818; 97; 19.091818;
9; 19; 95; 47.172593; 48.143409; 95; 48.143409;
9; 16; 94; 45.444179; 48.164724; 94; 48.164724;
9; 2; 94; 39.839022; 40.577706; 94; 40.577706;
9; 6; 90; 4.676748; 12.545666; 90; 12.545666;
9; 11; 88; 46.186446; 47.289818; 88; 47.289818;
9; 10; 80; 46.048314; 46.622493; 80; 46.622493;
9; 15; 76; 16.686569; 19.055508; 76; 19.055508;
9; 5; 64; 10.870760; 13.511726; 64; 13.511726;
9; 8; 60; 16.183417; 16.731394; 60; 16.731394;
9; 17; 55; 17.524277; 19.711780; 55; 19.711780;
9; 7; 46; 15.564417; 17.533307; 46; 17.533307;
9; 12; 40; 46.072901; 47.885726; 40; 47.885726;
