Simulation Time(s); Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
0; 17; 92; 17.707571; 20.000000; 92; 17.707571;
0; 0; 72; 10.633318; 9.000000; 72; 10.633318;
0; 11; 61; 45.633142; 43.000000; 61; 45.633142;
0; 6; 55; 12.545666; 9.000000; 55; 12.545666;
0; 14; 52; 46.231593; 8.000000; 52; 46.231593;
0; 7; 48; 15.486326; 1.000000; 48; 15.486326;
0; 5; 46; 13.320720; 12.000000; 46; 13.320720;
0; 15; 36; 18.081654; 8.000000; 36; 18.081654;
0; 3; 30; 17.507008; 20.000000; 30; 17.507008;
0; 2; 30; 40.577706; 1.000000; 30; 40.577706;
0; 13; 26; 16.553175; 20.000000; 26; 16.553175;
0; 4; 19; 10.633318; 14.000000; 19; 10.633318;
0; 10; 15; 46.490700; 10.000000; 28; 41.590566;
0; 19; 15; 44.428150; 29.000000; 29; 41.590566;
0; 18; 13; 17.640365; 25.000000; 13; 17.640365;
0; 8; 12; 15.746707; 3.000000; 12; 15.746707;
0; 9; 11; 48.613224; 51.000000; 11; 48.613224;
0; 12; 10; 46.139912; 46.000000; 19; 45.544106;
0; 1; 9; 45.782420; 35.000000; 13; 24.954339;
0; 16; 7; 45.049253; 48.000000; 10; 19.408931;



1; 17; 92; 19.711780; 17.707571; 92; 19.711780;
1; 0; 72; 5.867886; 10.633318; 72; 5.867886;
1; 11; 61; 46.103980; 45.633142; 61; 46.103980;
1; 6; 55; 5.181879; 12.545666; 55; 5.181879;
1; 14; 52; 45.874508; 46.231593; 52; 45.874508;
1; 7; 48; 14.301721; 15.486326; 48; 14.301721;
1; 5; 46; 13.449691; 13.320720; 46; 13.449691;
1; 15; 36; 18.435987; 18.081654; 36; 18.435987;
1; 3; 30; 17.601140; 17.507008; 30; 17.601140;
1; 2; 30; 40.490464; 40.577706; 30; 40.490464;
1; 19; 29; 47.652083; 41.590566; 15; 47.652083;
1; 10; 28; 46.622493; 41.590566; 15; 46.622493;
1; 13; 26; 15.914746; 16.553175; 26; 15.914746;
1; 4; 19; 5.867886; 10.633318; 19; 5.867886;
1; 12; 19; 45.589092; 45.544106; 10; 45.589092;
1; 18; 13; 18.517925; 17.640365; 13; 18.517925;
1; 1; 13; 45.700460; 24.954339; 37; 31.882991;
1; 8; 12; 14.391512; 15.746707; 12; 14.391512;
1; 9; 11; 48.659646; 48.613224; 20; 42.016858;
1; 16; 10; 44.668296; 19.408931; 23; 24.525378;



2; 17; 92; 16.738065; 19.711780; 92; 16.738065;
2; 0; 72; 4.700655; 5.867886; 72; 4.700655;
2; 11; 61; 46.268448; 46.103980; 61; 46.268448;
2; 6; 55; 6.799704; 5.181879; 55; 6.799704;
2; 14; 52; 45.178491; 45.874508; 52; 45.178491;
2; 7; 48; 17.533307; 14.301721; 48; 17.533307;
2; 5; 46; 13.131981; 13.449691; 46; 13.131981;
2; 1; 37; 45.683152; 31.882991; 9; 45.683152;
2; 15; 36; 16.714554; 18.435987; 36; 16.714554;
2; 2; 30; 36.418176; 40.490464; 30; 36.418176;
2; 3; 30; 15.794633; 17.601140; 30; 15.794633;
2; 13; 26; 15.440655; 15.914746; 26; 15.440655;
2; 16; 23; 48.000934; 24.525378; 7; 48.000934;
2; 9; 20; 48.568268; 42.016858; 11; 48.568268;
2; 4; 19; 4.700655; 5.867886; 19; 4.700655;
2; 10; 15; 46.107415; 46.622493; 15; 46.107415;
2; 19; 15; 44.401087; 47.652083; 15; 44.401087;
2; 18; 13; 18.921503; 18.517925; 13; 18.921503;
2; 8; 12; 14.644640; 14.391512; 12; 14.644640;
2; 12; 10; 47.885726; 45.589092; 12; 14.253677;



3; 17; 92; 18.330839; 16.738065; 92; 18.330839;
3; 0; 72; 10.319821; 4.700655; 72; 10.319821;
3; 11; 61; 45.982426; 46.268448; 61; 45.982426;
3; 6; 55; 9.579641; 6.799704; 55; 9.579641;
3; 14; 52; 45.868463; 45.178491; 52; 45.868463;
3; 7; 48; 16.699572; 17.533307; 48; 16.699572;
3; 5; 46; 12.670188; 13.131981; 46; 12.670188;
3; 15; 36; 18.892626; 16.714554; 36; 18.892626;
3; 2; 30; 37.179621; 36.418176; 30; 37.179621;
3; 3; 30; 18.084805; 15.794633; 30; 18.084805;
3; 13; 26; 14.803592; 15.440655; 26; 14.803592;
3; 4; 19; 10.319821; 4.700655; 19; 10.319821;
3; 10; 15; 45.003765; 46.107415; 15; 45.003765;
3; 19; 15; 47.968148; 44.401087; 15; 47.968148;
3; 18; 13; 16.783593; 18.921503; 13; 16.783593;
3; 8; 12; 15.085662; 14.644640; 12; 15.085662;
3; 12; 12; 46.604820; 14.253677; 10; 46.604820;
3; 9; 11; 48.899812; 48.568268; 11; 48.899812;
3; 1; 9; 45.859293; 45.683152; 15; 33.772399;
3; 16; 7; 45.888131; 48.000934; 8; 7.150386;



4; 17; 92; 17.016533; 18.330839; 92; 17.016533;
4; 0; 72; 10.437630; 10.319821; 72; 10.437630;
4; 11; 61; 47.289818; 45.982426; 61; 47.289818;
4; 6; 55; 8.483799; 9.579641; 55; 8.483799;
4; 14; 52; 48.043459; 45.868463; 52; 48.043459;
4; 7; 48; 14.730515; 16.699572; 48; 14.730515;
4; 5; 46; 11.014977; 12.670188; 46; 11.014977;
4; 15; 36; 19.055508; 18.892626; 36; 19.055508;
4; 2; 30; 37.758067; 37.179621; 30; 37.758067;
4; 3; 30; 18.807772; 18.084805; 30; 18.807772;
4; 13; 26; 16.797053; 14.803592; 26; 16.797053;
4; 4; 19; 10.437630; 10.319821; 19; 10.437630;
