Simulation Time(s); Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
0; 18; 94; 17.640365; 22.000000; 94; 17.640365;
0; 17; 84; 17.707571; 20.000000; 84; 17.707571;
0; 5; 80; 13.320720; 16.000000; 80; 13.320720;
0; 3; 79; 17.507008; 22.000000; 79; 17.507008;
0; 10; 74; 46.490700; 56.000000; 74; 46.490700;
0; 12; 67; 46.139912; 2.000000; 67; 46.139912;
0; 6; 59; 12.545666; 7.000000; 59; 12.545666;
0; 9; 59; 48.613224; 59.000000; 59; 48.613224;
0; 19; 54; 44.428150; 44.000000; 54; 44.428150;
0; 4; 48; 10.633318; 3.000000; 48; 10.633318;
0; 0; 46; 10.633318; 9.000000; 46; 10.633318;
0; 15; 42; 18.081654; 17.000000; 42; 18.081654;
0; 11; 35; 45.633142; 53.000000; 35; 45.633142;
0; 1; 30; 45.782420; 44.000000; 30; 45.782420;
0; 8; 19; 15.746707; 6.000000; 19; 15.746707;
0; 16; 16; 45.049253; 37.000000; 16; 45.049253;
0; 2; 16; 40.577706; 28.000000; 16; 40.577706;
0; 13; 9; 16.553175; 19.000000; 9; 16.553175;
0; 14; 8; 46.231593; 5.000000; 13; 31.429665;
0; 7; 4; 15.486326; 20.000000; 4; 15.486326;



1; 18; 94; 18.517925; 17.640365; 94; 18.517925;
1; 17; 84; 19.711780; 17.707571; 84; 19.711780;
1; 5; 80; 13.449691; 13.320720; 80; 13.449691;
1; 3; 79; 17.601140; 17.507008; 79; 17.601140;
1; 10; 74; 46.622493; 46.490700; 74; 46.622493;
1; 12; 67; 45.589092; 46.139912; 67; 45.589092;
1; 6; 59; 5.181879; 12.545666; 59; 5.181879;
1; 9; 59; 48.659646; 48.613224; 59; 48.659646;
1; 19; 54; 47.652083; 44.428150; 54; 47.652083;
1; 4; 48; 5.867886; 10.633318; 48; 5.867886;
1; 0; 46; 5.867886; 10.633318; 46; 5.867886;
1; 15; 42; 18.435987; 18.081654; 42; 18.435987;
1; 11; 35; 46.103980; 45.633142; 35; 46.103980;
1; 1; 30; 45.700460; 45.782420; 30; 45.700460;
1; 8; 19; 14.391512; 15.746707; 19; 14.391512;
1; 16; 16; 44.668296; 45.049253; 16; 44.668296;
1; 2; 16; 40.490464; 40.577706; 16; 40.490464;
1; 14; 13; 45.874508; 31.429665; 43; 45.271333;
1; 13; 9; 15.914746; 16.553175; 9; 15.914746;
1; 7; 4; 14.301721; 15.486326; 4; 14.301721;



2; 18; 94; 18.921503; 18.517925; 94; 18.921503;
2; 17; 84; 16.738065; 19.711780; 84; 19.711780;
2; 5; 80; 13.131981; 13.449691; 80; 13.449691;
2; 3; 79; 15.794633; 17.601140; 79; 17.601140;
2; 10; 74; 46.107415; 46.622493; 74; 46.622493;
2; 12; 67; 47.885726; 45.589092; 67; 47.885726;
2; 6; 59; 6.799704; 5.181879; 59; 6.799704;
2; 9; 59; 48.568268; 48.659646; 59; 48.659646;
2; 19; 54; 44.401087; 47.652083; 54; 45.064650;
2; 4; 48; 4.700655; 5.867886; 48; 4.700655;
2; 0; 46; 4.700655; 5.867886; 46; 4.700655;
2; 14; 43; 45.178491; 45.271333; 8; 45.178491;
2; 15; 42; 16.714554; 18.435987; 42; 16.714554;
2; 11; 35; 46.268448; 46.103980; 35; 46.268448;
2; 1; 30; 45.683152; 45.700460; 30; 45.683152;
2; 8; 19; 14.644640; 14.391512; 19; 14.644640;
2; 2; 16; 36.418176; 40.490464; 16; 36.418176;
2; 16; 16; 48.000934; 44.668296; 16; 48.000934;
2; 13; 9; 15.440655; 15.914746; 9; 15.440655;
2; 7; 4; 17.533307; 14.301721; 4; 17.533307;



3; 18; 94; 16.783593; 18.921503; 94; 16.783593;
3; 17; 84; 18.330839; 19.711780; 84; 18.330839;
3; 5; 80; 12.670188; 13.449691; 80; 12.670188;
3; 3; 79; 18.084805; 17.601140; 79; 18.084805;
3; 10; 74; 45.003765; 46.622493; 74; 45.003765;
3; 12; 67; 46.604820; 47.885726; 67; 46.604820;
3; 6; 59; 9.579641; 6.799704; 59; 9.579641;
3; 9; 59; 48.899812; 48.659646; 59; 48.899812;
3; 19; 54; 47.968148; 45.064650; 54; 47.968148;
3; 4; 48; 10.319821; 4.700655; 48; 10.319821;
3; 0; 46; 10.319821; 4.700655; 46; 10.319821;
3; 15; 42; 18.892626; 16.714554; 42; 18.892626;
3; 11; 35; 45.982426; 46.268448; 35; 45.982426;
3; 1; 30; 45.859293; 45.683152; 30; 45.859293;
3; 8; 19; 15.085662; 14.644640; 19; 15.085662;
3; 2; 16; 37.179621; 36.418176; 16; 37.179621;
3; 16; 16; 45.888131; 48.000934; 16; 45.888131;
3; 13; 9; 14.803592; 15.440655; 9; 14.803592;
3; 14; 8; 45.868463; 45.178491; 8; 45.868463;
3; 7; 4; 16.699572; 17.533307; 5; 5.874933;



4; 18; 94; 18.188646; 16.783593; 94; 18.188646;
4; 17; 84; 17.016533; 18.330839; 84; 17.016533;
4; 5; 80; 11.014977; 12.670188; 80; 11.014977;
4; 3; 79; 18.807772; 18.084805; 79; 18.807772;
4; 10; 74; 46.071853; 45.003765; 74; 46.071853;
4; 12; 67; 45.712173; 46.604820; 67; 45.712173;
4; 6; 59; 8.483799; 9.579641; 59; 8.483799;
4; 9; 59; 48.475687; 48.899812; 59; 48.475687;
4; 19; 54; 45.901539; 47.968148; 54; 45.901539;
4; 4; 48; 10.437630; 10.319821; 48; 10.437630;
4; 0; 46; 10.437630; 10.319821; 46; 10.437630;
4; 15; 42; 19.055508; 18.892626; 42; 19.055508;
4; 11; 35; 47.289818; 45.982426; 35; 47.289818;
4; 1; 30; 45.994352; 45.859293; 30; 45.994352;
4; 8; 19; 15.174835; 15.085662; 19; 15.174835;
4; 2; 16; 37.758067; 37.179621; 16; 37.758067;
4; 16; 16; 46.537486; 45.888131; 16; 46.537486;
4; 13; 9; 16.797053; 14.803592; 9; 16.797053;
4; 14; 8; 48.043459; 45.868463; 13; 36.114127;
4; 7; 5; 14.730515; 5.874933; 4; 14.730515;



5; 18; 94; 17.806390; 18.188646; 94; 17.806390;
5; 17; 84; 15.629799; 17.016533; 84; 15.629799;
5; 5; 80; 10.280987; 11.014977; 80; 10.280987;
5; 3; 79; 18.039921; 18.807772; 79; 18.039921;
5; 10; 74; 45.703511; 46.071853; 74; 45.703511;
5; 12; 67; 45.812170; 45.712173; 67; 45.812170;
5; 6; 59; 6.809280; 8.483799; 59; 6.809280;
5; 9; 59; 48.402075; 48.475687; 59; 48.402075;
5; 19; 54; 48.143409; 45.901539; 54; 48.143409;
5; 4; 48; 11.496260; 10.437630; 48; 11.496260;
5; 0; 46; 11.496260; 10.437630; 46; 11.496260;
5; 15; 42; 16.598477; 19.055508; 42; 16.598477;
5; 11; 35; 46.236111; 47.289818; 35; 46.236111;
5; 1; 30; 45.945362; 45.994352; 30; 45.945362;
5; 8; 19; 16.731394; 15.174835; 19; 16.731394;
5; 2; 16; 39.611404; 37.758067; 16; 39.611404;
5; 16; 16; 44.002164; 46.537486; 16; 44.002164;
5; 14; 13; 45.964571; 36.114127; 40; 40.464603;
5; 13; 9; 13.608951; 16.797053; 9; 13.608951;
5; 7; 4; 17.181472; 14.730515; 4; 17.181472;



6; 18; 94; 19.352776; 17.806390; 94; 19.352776;
6; 17; 84; 18.133808; 15.629799; 84; 18.133808;
6; 5; 80; 11.838022; 10.280987; 80; 11.838022;
6; 3; 79; 17.375608; 18.039921; 79; 17.375608;
6; 10; 74; 45.450506; 45.703511; 74; 45.450506;
6; 12; 67; 46.175892; 45.812170; 67; 46.175892;
6; 6; 59; 10.788559; 6.809280; 59; 10.788559;
6; 9; 59; 48.283509; 48.402075; 59; 48.283509;
6; 19; 54; 45.208699; 48.143409; 54; 45.208699;
6; 4; 48; 7.331457; 11.496260; 48; 7.331457;
6; 0; 46; 7.331457; 11.496260; 46; 7.331457;
6; 15; 42; 16.383671; 16.598477; 42; 16.383671;
6; 14; 40; 47.204408; 40.464603; 8; 47.204408;
6; 11; 35; 46.732054; 46.236111; 35; 46.732054;
6; 1; 30; 46.044836; 45.945362; 30; 46.044836;
6; 8; 19; 16.193167; 16.731394; 19; 16.193167;
6; 16; 16; 48.164724; 44.002164; 16; 48.164724;
6; 2; 16; 38.422869; 39.611404; 16; 38.422869;
6; 13; 9; 16.654067; 13.608951; 9; 16.654067;
6; 7; 4; 16.364039; 17.181472; 5; 6.929911;



7; 18; 94; 17.422482; 19.352776; 94; 19.352776;
7; 17; 84; 17.345230; 18.133808; 84; 18.133808;
7; 5; 80; 13.511726; 11.838022; 80; 13.511726;
7; 3; 79; 19.091818; 17.375608; 79; 19.091818;
7; 10; 74; 46.273287; 45.450506; 74; 46.273287;
7; 12; 67; 45.996760; 46.175892; 67; 46.175892;
7; 6; 59; 10.209362; 10.788559; 59; 10.788559;
7; 9; 59; 48.459370; 48.283509; 59; 48.459370;
7; 19; 54; 45.330505; 45.208699; 54; 45.330505;
7; 4; 48; 0.515403; 7.331457; 48; 7.331457;
7; 0; 46; 0.515403; 7.331457; 46; 1.096078;
7; 15; 42; 16.908460; 16.383671; 42; 16.908460;
7; 11; 35; 45.946198; 46.732054; 35; 45.946198;
7; 1; 30; 45.330073; 46.044836; 30; 45.330073;
7; 8; 19; 14.840599; 16.193167; 19; 14.840599;
7; 16; 16; 44.436878; 48.164724; 16; 44.436878;
7; 2; 16; 38.202676; 38.422869; 16; 38.202676;
7; 13; 9; 16.388110; 16.654067; 9; 16.388110;
7; 14; 8; 46.297409; 47.204408; 8; 46.297409;
7; 7; 5; 16.104321; 6.929911; 4; 16.104321;



8; 18; 94; 17.593950; 19.352776; 94; 17.593950;
8; 17; 84; 18.448275; 18.133808; 84; 18.448275;
8; 5; 80; 13.070223; 13.511726; 80; 13.070223;
8; 3; 79; 18.137643; 19.091818; 79; 18.137643;
8; 10; 74; 46.056332; 46.273287; 74; 46.056332;
8; 12; 67; 46.186832; 46.175892; 67; 46.186832;
8; 6; 59; 7.739699; 10.788559; 59; 7.739699;
8; 9; 59; 48.359814; 48.459370; 59; 48.359814;
8; 19; 54; 45.178079; 45.330505; 54; 45.178079;
8; 4; 48; 7.048983; 7.331457; 48; 7.048983;
8; 0; 46; 7.048983; 1.096078; 46; 7.048983;
8; 15; 42; 16.791617; 16.908460; 42; 16.791617;
8; 11; 35; 45.686555; 45.946198; 35; 45.686555;
8; 1; 30; 44.980899; 45.330073; 30; 44.980899;
8; 8; 19; 14.811117; 14.840599; 19; 14.811117;
8; 16; 16; 45.203623; 44.436878; 16; 45.203623;
8; 2; 16; 39.851097; 38.202676; 16; 39.851097;
8; 13; 9; 17.474671; 16.388110; 9; 17.474671;
8; 14; 8; 45.233228; 46.297409; 8; 45.233228;
8; 7; 4; 15.892295; 16.104321; 7; 15.098380;



9; 18; 94; 17.937249; 17.593950; 94; 17.937249;
9; 17; 84; 17.524277; 18.448275; 84; 18.448275;
9; 5; 80; 10.870760; 13.070223; 80; 13.070223;
9; 3; 79; 18.583631; 18.137643; 79; 18.583631;
9; 10; 74; 46.048314; 46.056332; 74; 46.056332;
9; 12; 67; 46.072901; 46.186832; 67; 46.186832;
9; 6; 59; 4.676748; 7.739699; 59; 7.739699;
9; 9; 59; 49.062593; 48.359814; 59; 49.062593;
9; 19; 54; 47.172593; 45.178079; 54; 47.172593;
9; 4; 48; 3.747117; 7.048983; 48; 5.433785;
9; 0; 46; 3.747117; 7.048983; 46; 3.747117;
9; 15; 42; 16.686569; 16.791617; 42; 16.686569;
9; 11; 35; 46.186446; 45.686555; 35; 46.186446;
9; 1; 30; 46.061980; 44.980899; 30; 46.061980;
9; 8; 19; 16.183417; 14.811117; 19; 16.183417;
9; 16; 16; 45.444179; 45.203623; 16; 45.444179;
9; 2; 16; 39.839022; 39.851097; 16; 39.839022;
9; 13; 9; 14.841060; 17.474671; 9; 14.841060;
9; 14; 8; 45.754581; 45.233228; 8; 45.754581;
9; 7; 7; 15.564417; 15.098380; 4; 15.564417;



10; 18; 94; 19.357962; 17.937249; 94; 19.357962;
10; 17; 84; 17.776441; 18.448275; 84; 18.448275;
10; 5; 80; 10.201951; 13.070223; 80; 13.070223;
10; 3; 79; 17.980495; 18.583631; 79; 18.583631;
10; 10; 74; 46.180806; 46.056332; 74; 46.180806;
10; 12; 67; 45.415791; 46.186832; 67; 46.186832;
10; 6; 59; 4.186816; 7.739699; 59; 7.739699;
10; 9; 59; 48.696746; 49.062593; 59; 49.062593;
10; 19; 54; 45.257076; 47.172593; 54; 45.912889;
10; 4; 48; 3.540586; 5.433785; 48; 3.540586;
10; 0; 46; 3.540586; 3.747117; 46; 3.540586;
10; 15; 42; 18.037996; 16.686569; 42; 18.037996;
10; 11; 35; 45.574204; 46.186446; 35; 45.574204;
10; 1; 30; 46.125784; 46.061980; 30; 46.125784;
10; 8; 19; 17.283359; 16.183417; 19; 17.283359;
