Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
8; 97; 483.000000; 340.000000; 97; 483.000000;
3; 95; 102.000000; 215.000000; 95; 102.000000;
11; 87; 278.000000; 106.000000; 87; 278.000000;
14; 84; 398.000000; 367.000000; 84; 398.000000;
1; 76; 176.000000; 264.000000; 76; 176.000000;
17; 72; 66.000000; 256.000000; 72; 66.000000;
10; 71; 345.000000; 30.000000; 71; 345.000000;
7; 67; 592.000000; 466.000000; 67; 592.000000;
18; 64; 334.000000; 292.000000; 64; 334.000000;
15; 60; 507.000000; 375.000000; 60; 507.000000;
19; 55; 583.000000; 197.000000; 55; 583.000000;
13; 46; 203.000000; 228.000000; 46; 203.000000;
2; 44; 167.000000; 343.000000; 44; 167.000000;
5; 44; 555.000000; 75.000000; 70; 338.105263;
9; 38; 105.000000; 491.000000; 38; 105.000000;
0; 33; 87.000000; 481.000000; 33; 87.000000;
12; 30; 506.000000; 426.000000; 30; 506.000000;
6; 11; 537.000000; 246.000000; 14; 162.631579;
4; 9; 87.000000; 86.000000; 16; 69.157895;
16; 6; 203.000000; 264.000000; 7; 46.105263;



8; 97; 87.000000; 483.000000; 97; 87.000000;
3; 95; 481.000000; 102.000000; 95; 481.000000;
11; 87; 533.000000; 278.000000; 87; 533.000000;
14; 84; 176.000000; 398.000000; 84; 176.000000;
1; 76; 164.000000; 176.000000; 76; 164.000000;
17; 72; 476.000000; 66.000000; 72; 476.000000;
10; 71; 167.000000; 345.000000; 71; 167.000000;
5; 70; 586.000000; 338.105263; 44; 586.000000;
7; 67; 43.000000; 592.000000; 67; 43.000000;
18; 64; 544.000000; 334.000000; 64; 544.000000;
15; 60; 102.000000; 507.000000; 60; 102.000000;
19; 55; 215.000000; 583.000000; 55; 215.000000;
13; 46; 195.000000; 203.000000; 46; 195.000000;
2; 44; 87.000000; 167.000000; 44; 87.000000;
9; 38; 109.000000; 105.000000; 38; 109.000000;
0; 33; 555.000000; 87.000000; 33; 555.000000;
12; 30; 75.000000; 506.000000; 30; 75.000000;
4; 16; 537.000000; 69.157895; 9; 537.000000;
6; 14; 544.000000; 162.631579; 32; 291.200000;
16; 7; 46.000000; 46.105263; 6; 46.000000;



8; 97; 87.000000; 87.000000; 97; 87.000000;
3; 95; 481.000000; 481.000000; 95; 481.000000;
11; 87; 533.000000; 533.000000; 87; 533.000000;
14; 84; 176.000000; 176.000000; 84; 176.000000;
1; 76; 164.000000; 164.000000; 76; 164.000000;
17; 72; 476.000000; 476.000000; 72; 476.000000;
10; 71; 167.000000; 167.000000; 71; 167.000000;
7; 67; 544.000000; 43.000000; 67; 544.000000;
18; 64; 102.000000; 544.000000; 64; 102.000000;
15; 60; 215.000000; 102.000000; 60; 215.000000;
19; 55; 195.000000; 215.000000; 55; 195.000000;
13; 46; 87.000000; 195.000000; 46; 87.000000;
5; 44; 43.000000; 586.000000; 44; 43.000000;
2; 44; 586.000000; 87.000000; 44; 586.000000;
9; 38; 109.000000; 109.000000; 38; 109.000000;
0; 33; 555.000000; 555.000000; 33; 555.000000;
6; 32; 537.000000; 291.200000; 185; 427.220779;
12; 30; 75.000000; 75.000000; 30; 75.000000;
4; 9; 544.000000; 537.000000; 16; 445.675325;
16; 6; 46.000000; 46.000000; 6; 46.000000;



6; 185; 75.000000; 427.220779; 11; 75.000000;
8; 97; 87.000000; 87.000000; 97; 87.000000;
3; 95; 481.000000; 481.000000; 95; 481.000000;
11; 87; 533.000000; 533.000000; 87; 533.000000;
14; 84; 176.000000; 176.000000; 84; 176.000000;
1; 76; 164.000000; 164.000000; 76; 164.000000;
17; 72; 476.000000; 476.000000; 72; 476.000000;
10; 71; 167.000000; 167.000000; 71; 167.000000;
7; 67; 43.000000; 544.000000; 67; 43.000000;
18; 64; 544.000000; 102.000000; 64; 544.000000;
15; 60; 102.000000; 215.000000; 60; 102.000000;
19; 55; 215.000000; 195.000000; 55; 215.000000;
13; 46; 195.000000; 87.000000; 46; 195.000000;
2; 44; 586.000000; 586.000000; 44; 586.000000;
5; 44; 87.000000; 43.000000; 44; 87.000000;
9; 38; 109.000000; 109.000000; 38; 109.000000;
0; 33; 555.000000; 555.000000; 33; 555.000000;
12; 30; 544.000000; 75.000000; 30; 544.000000;
4; 16; 537.000000; 445.675325; 38; 299.038462;
16; 6; 46.000000; 46.000000; 6; 46.000000;



8; 97; 481.000000; 87.000000; 97; 481.000000;
3; 95; 533.000000; 481.000000; 95; 533.000000;
11; 87; 176.000000; 533.000000; 87; 176.000000;
14; 84; 164.000000; 176.000000; 84; 164.000000;
1; 76; 476.000000; 164.000000; 76; 476.000000;
17; 72; 167.000000; 476.000000; 72; 167.000000;
10; 71; 43.000000; 167.000000; 71; 43.000000;
7; 67; 544.000000; 43.000000; 67; 544.000000;
18; 64; 102.000000; 544.000000; 64; 102.000000;
15; 60; 215.000000; 102.000000; 60; 215.000000;
19; 55; 195.000000; 215.000000; 55; 195.000000;
13; 46; 87.000000; 195.000000; 46; 87.000000;
2; 44; 586.000000; 586.000000; 44; 586.000000;
5; 44; 109.000000; 87.000000; 44; 109.000000;
9; 38; 555.000000; 109.000000; 38; 555.000000;
4; 38; 537.000000; 299.038462; 176; 359.067797;
0; 33; 75.000000; 555.000000; 33; 75.000000;
12; 30; 544.000000; 544.000000; 58; 520.296610;
6; 11; 87.000000; 75.000000; 11; 87.000000;
16; 6; 46.000000; 46.000000; 6; 46.000000;



4; 176; 555.000000; 359.067797; 9; 555.000000;
8; 97; 87.000000; 481.000000; 97; 87.000000;
3; 95; 481.000000; 533.000000; 95; 481.000000;
11; 87; 533.000000; 176.000000; 87; 533.000000;
14; 84; 176.000000; 164.000000; 84; 176.000000;
1; 76; 164.000000; 476.000000; 76; 164.000000;
17; 72; 476.000000; 167.000000; 72; 476.000000;
10; 71; 167.000000; 43.000000; 71; 167.000000;
7; 67; 43.000000; 544.000000; 67; 43.000000;
18; 64; 544.000000; 102.000000; 64; 544.000000;
15; 60; 102.000000; 215.000000; 60; 102.000000;
12; 58; 544.000000; 520.296610; 30; 544.000000;
19; 55; 215.000000; 195.000000; 55; 215.000000;
13; 46; 195.000000; 87.000000; 46; 195.000000;
2; 44; 87.000000; 586.000000; 44; 87.000000;
5; 44; 586.000000; 109.000000; 44; 586.000000;
9; 38; 109.000000; 555.000000; 38; 109.000000;
0; 33; 75.000000; 75.000000; 33; 75.000000;
6; 11; 537.000000; 87.000000; 16; 264.647059;
16; 6; 46.000000; 46.000000; 6; 46.000000;



8; 97; 481.000000; 87.000000; 97; 481.000000;
3; 95; 533.000000; 481.000000; 95; 533.000000;
11; 87; 176.000000; 533.000000; 87; 176.000000;
14; 84; 164.000000; 176.000000; 84; 164.000000;
1; 76; 476.000000; 164.000000; 76; 476.000000;
17; 72; 167.000000; 476.000000; 72; 167.000000;
10; 71; 43.000000; 167.000000; 71; 43.000000;
7; 67; 544.000000; 43.000000; 67; 544.000000;
18; 64; 102.000000; 544.000000; 64; 102.000000;
15; 60; 215.000000; 102.000000; 60; 215.000000;
19; 55; 87.000000; 215.000000; 55; 87.000000;
13; 46; 586.000000; 195.000000; 46; 586.000000;
2; 44; 109.000000; 87.000000; 44; 109.000000;
5; 44; 555.000000; 586.000000; 44; 555.000000;
9; 38; 75.000000; 109.000000; 38; 75.000000;
0; 33; 544.000000; 75.000000; 33; 544.000000;
12; 30; 195.000000; 544.000000; 30; 195.000000;
6; 16; 537.000000; 264.647059; 34; 256.000000;
4; 9; 87.000000; 555.000000; 9; 87.000000;
16; 6; 46.000000; 46.000000; 6; 46.000000;



8; 97; 87.000000; 481.000000; 97; 87.000000;
3; 95; 481.000000; 533.000000; 95; 481.000000;
11; 87; 533.000000; 176.000000; 87; 533.000000;
14; 84; 176.000000; 164.000000; 84; 176.000000;
1; 76; 164.000000; 476.000000; 76; 164.000000;
17; 72; 476.000000; 167.000000; 72; 476.000000;
10; 71; 167.000000; 43.000000; 71; 167.000000;
7; 67; 43.000000; 544.000000; 67; 43.000000;
18; 64; 544.000000; 102.000000; 64; 544.000000;
15; 60; 102.000000; 215.000000; 60; 102.000000;
19; 55; 215.000000; 87.000000; 55; 215.000000;
13; 46; 195.000000; 586.000000; 46; 195.000000;
2; 44; 87.000000; 109.000000; 44; 87.000000;
5; 44; 586.000000; 555.000000; 44; 586.000000;
9; 38; 109.000000; 75.000000; 38; 109.000000;
6; 34; 544.000000; 256.000000; 11; 544.000000;
0; 33; 555.000000; 544.000000; 33; 555.000000;
12; 30; 75.000000; 195.000000; 30; 75.000000;
4; 9; 537.000000; 87.000000; 13; 245.400000;
16; 6; 46.000000; 46.000000; 6; 46.000000;



8; 97; 87.000000; 87.000000; 97; 87.000000;
3; 95; 481.000000; 481.000000; 95; 481.000000;
11; 87; 533.000000; 533.000000; 87; 533.000000;
14; 84; 176.000000; 176.000000; 84; 176.000000;
1; 76; 164.000000; 164.000000; 76; 164.000000;
17; 72; 476.000000; 476.000000; 72; 476.000000;
10; 71; 167.000000; 167.000000; 71; 167.000000;
7; 67; 43.000000; 43.000000; 67; 43.000000;
18; 64; 544.000000; 544.000000; 64; 544.000000;
15; 60; 102.000000; 102.000000; 60; 102.000000;
19; 55; 215.000000; 215.000000; 55; 215.000000;
13; 46; 195.000000; 195.000000; 46; 195.000000;
