Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
10; 96; 34.000000; 294.000000; 96; 34.000000;
18; 94; 455.000000; 82.000000; 94; 455.000000;
6; 91; 372.000000; 472.000000; 91; 372.000000;
7; 90; 578.000000; 78.000000; 90; 578.000000;
5; 86; 101.000000; 107.000000; 86; 101.000000;
8; 86; 151.000000; 459.000000; 86; 151.000000;
1; 82; 502.000000; 150.000000; 171; 458.834879;
19; 76; 594.000000; 376.000000; 182; 425.261596;
12; 65; 480.000000; 49.000000; 150; 363.710575;
11; 47; 397.000000; 196.000000; 117; 262.990724;
9; 43; 241.000000; 330.000000; 86; 240.608534;
2; 41; 300.000000; 366.000000; 94; 229.417440;
3; 37; 202.000000; 196.000000; 37; 202.000000;
17; 35; 513.000000; 31.000000; 124; 200.879406;
15; 33; 483.000000; 276.000000; 119; 184.653061;
14; 26; 458.000000; 375.000000; 107; 145.484230;
4; 25; 271.000000; 313.000000; 73; 139.888683;
13; 13; 421.000000; 403.000000; 88; 72.742115;
0; 11; 112.000000; 153.000000; 31; 61.551020;
16; 5; 370.000000; 1.000000; 71; 27.977737;



19; 182; 166.000000; 425.261596; 76; 166.000000;
1; 171; 300.000000; 458.834879; 82; 300.000000;
12; 150; 541.000000; 363.710575; 65; 541.000000;
17; 124; 413.000000; 200.879406; 35; 413.000000;
15; 119; 25.000000; 184.653061; 33; 25.000000;
11; 117; 202.000000; 262.990724; 47; 202.000000;
14; 107; 101.000000; 145.484230; 26; 101.000000;
10; 96; 112.000000; 34.000000; 96; 112.000000;
2; 94; 37.000000; 229.417440; 41; 37.000000;
18; 94; 453.000000; 455.000000; 94; 453.000000;
6; 91; 11.000000; 372.000000; 91; 11.000000;
7; 90; 502.000000; 578.000000; 90; 502.000000;
13; 88; 486.000000; 72.742115; 13; 486.000000;
9; 86; 96.000000; 240.608534; 43; 96.000000;
5; 86; 450.000000; 101.000000; 86; 450.000000;
8; 86; 82.000000; 151.000000; 86; 82.000000;
4; 73; 7.000000; 139.888683; 25; 7.000000;
16; 71; 572.000000; 27.977737; 461; 369.302158;
3; 37; 271.000000; 202.000000; 89; 192.453237;
0; 31; 372.000000; 61.551020; 339; 161.244604;



16; 461; 486.000000; 369.302158; 5; 486.000000;
0; 339; 572.000000; 161.244604; 11; 572.000000;
10; 96; 166.000000; 112.000000; 96; 166.000000;
18; 94; 202.000000; 453.000000; 94; 202.000000;
6; 91; 96.000000; 11.000000; 91; 96.000000;
7; 90; 37.000000; 502.000000; 90; 37.000000;
3; 89; 372.000000; 192.453237; 37; 372.000000;
8; 86; 101.000000; 82.000000; 86; 101.000000;
5; 86; 25.000000; 450.000000; 86; 25.000000;
1; 82; 453.000000; 300.000000; 82; 453.000000;
19; 76; 112.000000; 166.000000; 76; 112.000000;
12; 65; 11.000000; 541.000000; 65; 11.000000;
11; 47; 82.000000; 202.000000; 47; 82.000000;
9; 43; 413.000000; 96.000000; 43; 413.000000;
2; 41; 541.000000; 37.000000; 41; 541.000000;
17; 35; 502.000000; 413.000000; 35; 502.000000;
15; 33; 450.000000; 25.000000; 114; 182.350515;
14; 26; 300.000000; 101.000000; 80; 143.670103;
4; 25; 7.000000; 7.000000; 25; 7.000000;
13; 13; 271.000000; 486.000000; 30; 202.979381;



15; 114; 7.000000; 182.350515; 33; 7.000000;
10; 96; 11.000000; 166.000000; 96; 11.000000;
18; 94; 502.000000; 202.000000; 94; 502.000000;
6; 91; 450.000000; 96.000000; 91; 450.000000;
7; 90; 82.000000; 37.000000; 90; 82.000000;
5; 86; 541.000000; 25.000000; 86; 541.000000;
8; 86; 166.000000; 101.000000; 86; 166.000000;
1; 82; 202.000000; 453.000000; 82; 202.000000;
14; 80; 486.000000; 143.670103; 26; 486.000000;
19; 76; 96.000000; 112.000000; 76; 96.000000;
12; 65; 37.000000; 11.000000; 65; 37.000000;
11; 47; 271.000000; 82.000000; 47; 271.000000;
9; 43; 413.000000; 413.000000; 43; 413.000000;
2; 41; 25.000000; 541.000000; 41; 25.000000;
3; 37; 300.000000; 372.000000; 37; 300.000000;
17; 35; 101.000000; 502.000000; 35; 101.000000;
13; 30; 572.000000; 202.979381; 163; 429.718310;
4; 25; 372.000000; 7.000000; 50; 358.098592;
0; 11; 453.000000; 572.000000; 42; 157.563380;
16; 5; 112.000000; 486.000000; 12; 71.619718;



13; 163; 7.000000; 429.718310; 13; 7.000000;
10; 96; 453.000000; 11.000000; 96; 453.000000;
18; 94; 11.000000; 502.000000; 94; 11.000000;
6; 91; 502.000000; 450.000000; 91; 502.000000;
7; 90; 450.000000; 82.000000; 90; 450.000000;
8; 86; 300.000000; 166.000000; 86; 300.000000;
5; 86; 82.000000; 541.000000; 86; 82.000000;
1; 82; 166.000000; 202.000000; 82; 166.000000;
19; 76; 202.000000; 96.000000; 76; 202.000000;
12; 65; 96.000000; 37.000000; 65; 96.000000;
4; 50; 486.000000; 358.098592; 25; 486.000000;
11; 47; 37.000000; 271.000000; 47; 37.000000;
9; 43; 271.000000; 413.000000; 43; 271.000000;
0; 42; 372.000000; 157.563380; 11; 372.000000;
2; 41; 413.000000; 25.000000; 41; 413.000000;
3; 37; 25.000000; 300.000000; 37; 25.000000;
17; 35; 101.000000; 101.000000; 35; 101.000000;
15; 33; 112.000000; 7.000000; 33; 112.000000;
14; 26; 541.000000; 486.000000; 26; 541.000000;
16; 12; 572.000000; 71.619718; 797; 80.000000;



16; 797; 572.000000; 80.000000; 5; 572.000000;
10; 96; 453.000000; 453.000000; 96; 453.000000;
18; 94; 11.000000; 11.000000; 94; 11.000000;
6; 91; 502.000000; 502.000000; 91; 502.000000;
7; 90; 450.000000; 450.000000; 90; 450.000000;
5; 86; 300.000000; 82.000000; 86; 300.000000;
8; 86; 82.000000; 300.000000; 86; 82.000000;
1; 82; 166.000000; 166.000000; 82; 166.000000;
19; 76; 541.000000; 202.000000; 76; 541.000000;
12; 65; 202.000000; 96.000000; 65; 202.000000;
11; 47; 37.000000; 37.000000; 47; 37.000000;
9; 43; 271.000000; 271.000000; 43; 271.000000;
2; 41; 25.000000; 413.000000; 41; 25.000000;
3; 37; 101.000000; 25.000000; 37; 101.000000;
17; 35; 7.000000; 101.000000; 35; 7.000000;
15; 33; 486.000000; 112.000000; 86; 301.583333;
14; 26; 372.000000; 541.000000; 66; 237.611111;
4; 25; 96.000000; 486.000000; 25; 96.000000;
13; 13; 112.000000; 7.000000; 13; 112.000000;
0; 11; 413.000000; 372.000000; 29; 239.805556;



10; 96; 453.000000; 453.000000; 96; 453.000000;
18; 94; 11.000000; 11.000000; 94; 11.000000;
6; 91; 502.000000; 502.000000; 91; 502.000000;
7; 90; 450.000000; 450.000000; 90; 450.000000;
5; 86; 82.000000; 300.000000; 86; 82.000000;
8; 86; 300.000000; 82.000000; 86; 300.000000;
15; 86; 101.000000; 301.583333; 33; 101.000000;
1; 82; 166.000000; 166.000000; 82; 166.000000;
19; 76; 541.000000; 541.000000; 76; 541.000000;
14; 66; 7.000000; 237.611111; 26; 7.000000;
12; 65; 202.000000; 202.000000; 65; 202.000000;
11; 47; 96.000000; 37.000000; 47; 96.000000;
9; 43; 37.000000; 271.000000; 43; 37.000000;
2; 41; 271.000000; 25.000000; 41; 271.000000;
3; 37; 413.000000; 101.000000; 37; 413.000000;
17; 35; 25.000000; 7.000000; 35; 25.000000;
0; 29; 572.000000; 239.805556; 11; 572.000000;
4; 25; 486.000000; 96.000000; 68; 277.906977;
13; 13; 372.000000; 112.000000; 46; 144.511628;
16; 5; 112.000000; 572.000000; 15; 55.581395;



10; 96; 112.000000; 453.000000; 96; 112.000000;
18; 94; 453.000000; 11.000000; 94; 453.000000;
6; 91; 11.000000; 502.000000; 91; 11.000000;
7; 90; 502.000000; 450.000000; 90; 502.000000;
5; 86; 450.000000; 82.000000; 86; 450.000000;
8; 86; 82.000000; 300.000000; 86; 82.000000;
1; 82; 166.000000; 166.000000; 82; 166.000000;
19; 76; 541.000000; 541.000000; 76; 541.000000;
4; 68; 486.000000; 277.906977; 25; 486.000000;
12; 65; 96.000000; 202.000000; 65; 96.000000;
11; 47; 37.000000; 96.000000; 47; 37.000000;
13; 46; 372.000000; 144.511628; 13; 372.000000;
9; 43; 271.000000; 37.000000; 43; 271.000000;
2; 41; 413.000000; 271.000000; 41; 413.000000;
3; 37; 25.000000; 413.000000; 37; 25.000000;
17; 35; 101.000000; 25.000000; 35; 101.000000;
15; 33; 300.000000; 101.000000; 33; 300.000000;
14; 26; 202.000000; 7.000000; 26; 202.000000;
16; 15; 572.000000; 55.581395; 2304; 50.192308;
0; 11; 7.000000; 572.000000; 11; 7.000000;



16; 2304; 372.000000; 50.192308; 5; 372.000000;
10; 96; 112.000000; 112.000000; 96; 112.000000;
18; 94; 453.000000; 453.000000; 94; 453.000000;
6; 91; 11.000000; 11.000000; 91; 11.000000;
7; 90; 502.000000; 502.000000; 90; 502.000000;
8; 86; 82.000000; 82.000000; 86; 82.000000;
5; 86; 450.000000; 450.000000; 86; 450.000000;
1; 82; 300.000000; 166.000000; 82; 300.000000;
19; 76; 166.000000; 541.000000; 76; 166.000000;
12; 65; 202.000000; 96.000000; 65; 202.000000;
11; 47; 96.000000; 37.000000; 47; 96.000000;
9; 43; 271.000000; 271.000000; 43; 271.000000;
2; 41; 413.000000; 413.000000; 41; 413.000000;
3; 37; 25.000000; 25.000000; 37; 25.000000;
