Simulation Time(s); Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
0; 0; 28; 10.633318; 8.000000; 28; 10.633318;
0; 1; 28; 45.782420; 2.000000; 28; 45.782420;
0; 2; 28; 40.577706; 38.000000; 28; 40.577706;
0; 3; 28; 17.507008; 16.000000; 28; 17.507008;
0; 4; 28; 10.633318; 8.000000; 28; 10.633318;
0; 5; 28; 13.320720; 14.000000; 28; 13.320720;
0; 6; 28; 12.545666; 14.000000; 28; 12.545666;
0; 7; 28; 15.486326; 19.000000; 28; 15.486326;
0; 8; 28; 15.746707; 19.000000; 28; 15.746707;
0; 9; 28; 48.613224; 50.000000; 28; 48.613224;
0; 10; 28; 46.490700; 65.000000; 28; 46.490700;
0; 11; 28; 45.633142; 2.000000; 41; 21.295876;
0; 12; 28; 46.139912; 65.000000; 40; 21.295876;
0; 13; 28; 16.553175; 2.000000; 28; 16.553175;
0; 14; 28; 46.231593; 65.000000; 43; 26.038578;
0; 15; 28; 18.081654; 23.000000; 28; 18.081654;
0; 16; 28; 45.049253; 19.000000; 43; 24.510099;
0; 17; 28; 17.707571; 16.000000; 28; 17.707571;
0; 18; 28; 17.640365; 16.000000; 28; 17.640365;
0; 19; 28; 44.428150; 8.000000; 45; 28.539693;



1; 19; 45; 47.652083; 28.539693; 40; 21.352846;
1; 16; 43; 44.668296; 24.510099; 129; 32.791870;
1; 14; 43; 45.874508; 26.038578; 126; 32.791870;
1; 11; 41; 46.103980; 21.295876; 115; 31.266667;
1; 12; 40; 45.589092; 21.295876; 111; 30.504065;
1; 5; 28; 13.449691; 13.320720; 28; 13.449691;
1; 6; 28; 5.181879; 12.545666; 28; 5.181879;
1; 7; 28; 14.301721; 15.486326; 28; 14.301721;
1; 8; 28; 14.391512; 15.746707; 28; 14.391512;
1; 9; 28; 48.659646; 48.613224; 28; 48.659646;
1; 10; 28; 46.622493; 46.490700; 47; 32.132624;
1; 0; 28; 5.867886; 10.633318; 28; 5.867886;
1; 1; 28; 45.700460; 45.782420; 50; 36.837805;
1; 13; 28; 15.914746; 16.553175; 28; 15.914746;
1; 2; 28; 40.490464; 40.577706; 46; 26.790945;
1; 15; 28; 18.435987; 18.081654; 28; 18.435987;
1; 3; 28; 17.601140; 17.507008; 28; 17.601140;
1; 17; 28; 19.711780; 17.707571; 28; 19.711780;
1; 18; 28; 18.517925; 17.640365; 28; 18.517925;
1; 4; 28; 5.867886; 10.633318; 28; 5.867886;



2; 16; 129; 45.683152; 32.791870; 28; 45.683152;
2; 14; 126; 36.418176; 32.791870; 28; 36.418176;
2; 11; 115; 15.794633; 31.266667; 28; 15.794633;
2; 12; 111; 4.700655; 30.504065; 28; 4.700655;
2; 1; 50; 47.885726; 36.837805; 28; 47.885726;
2; 10; 47; 46.107415; 32.132624; 28; 46.107415;
2; 2; 46; 45.178491; 26.790945; 28; 45.178491;
2; 19; 40; 4.700655; 21.352846; 28; 4.700655;
2; 8; 28; 14.644640; 14.391512; 28; 14.644640;
2; 9; 28; 48.568268; 48.659646; 28; 48.568268;
2; 5; 28; 13.131981; 13.449691; 28; 13.131981;
2; 0; 28; 46.268448; 5.867886; 37; 16.242912;
2; 6; 28; 6.799704; 5.181879; 28; 6.799704;
2; 13; 28; 15.440655; 15.914746; 28; 15.440655;
2; 7; 28; 17.533307; 14.301721; 28; 17.533307;
2; 15; 28; 16.714554; 18.435987; 28; 16.714554;
2; 3; 28; 48.000934; 17.601140; 42; 24.726340;
2; 17; 28; 16.738065; 19.711780; 55; 16.242912;
2; 18; 28; 18.921503; 18.517925; 52; 16.242912;
2; 4; 28; 44.401087; 5.867886; 38; 16.242912;



3; 17; 55; 18.330839; 16.242912; 28; 18.330839;
3; 18; 52; 16.783593; 16.242912; 28; 16.783593;
3; 3; 42; 45.888131; 24.726340; 28; 45.888131;
3; 4; 38; 47.968148; 16.242912; 28; 47.968148;
3; 0; 37; 45.982426; 16.242912; 28; 45.982426;
3; 10; 28; 12.670188; 46.107415; 28; 12.670188;
3; 2; 28; 9.579641; 45.178491; 28; 9.579641;
3; 19; 28; 16.699572; 4.700655; 28; 16.699572;
3; 8; 28; 15.085662; 14.644640; 28; 15.085662;
3; 9; 28; 48.899812; 48.568268; 28; 48.899812;
3; 5; 28; 45.003765; 13.131981; 28; 45.003765;
3; 16; 28; 10.319821; 45.683152; 28; 10.319821;
3; 6; 28; 46.604820; 6.799704; 38; 16.973550;
3; 13; 28; 14.803592; 15.440655; 28; 14.803592;
3; 7; 28; 45.868463; 17.533307; 39; 19.143509;
3; 15; 28; 18.892626; 16.714554; 53; 16.973550;
3; 14; 28; 45.859293; 36.418176; 38; 16.973550;
3; 11; 28; 37.179621; 15.794633; 40; 16.973550;
3; 12; 28; 18.084805; 4.700655; 54; 16.973550;
3; 1; 28; 10.319821; 47.885726; 28; 10.319821;



4; 12; 54; 18.188646; 16.973550; 28; 18.188646;
4; 15; 53; 19.055508; 16.973550; 28; 19.055508;
4; 11; 40; 17.016533; 16.973550; 28; 17.016533;
4; 7; 39; 48.043459; 19.143509; 28; 48.043459;
4; 6; 38; 45.712173; 16.973550; 28; 45.712173;
4; 14; 38; 46.537486; 16.973550; 28; 46.537486;
4; 2; 28; 8.483799; 9.579641; 28; 8.483799;
4; 19; 28; 14.730515; 16.699572; 28; 14.730515;
4; 8; 28; 15.174835; 15.085662; 28; 15.174835;
4; 9; 28; 48.475687; 48.899812; 28; 48.475687;
4; 5; 28; 46.071853; 45.003765; 28; 46.071853;
4; 16; 28; 47.289818; 10.319821; 37; 15.723278;
4; 17; 28; 10.437630; 18.330839; 28; 10.437630;
4; 13; 28; 16.797053; 14.803592; 28; 16.797053;
4; 18; 28; 45.994352; 16.783593; 40; 19.935152;
4; 3; 28; 37.758067; 45.888131; 39; 15.723278;
4; 4; 28; 18.807772; 47.968148; 51; 15.723278;
4; 0; 28; 10.437630; 45.982426; 28; 10.437630;
4; 10; 28; 11.014977; 12.670188; 28; 11.014977;
4; 1; 28; 45.901539; 10.319821; 43; 25.717228;



5; 4; 51; 44.002164; 15.723278; 28; 44.002164;
5; 1; 43; 48.143409; 25.717228; 28; 48.143409;
5; 18; 40; 45.964571; 19.935152; 28; 45.964571;
5; 3; 39; 16.598477; 15.723278; 28; 16.598477;
5; 16; 37; 46.236111; 15.723278; 28; 46.236111;
5; 14; 28; 10.280987; 46.537486; 28; 10.280987;
5; 2; 28; 6.809280; 8.483799; 28; 6.809280;
5; 19; 28; 17.181472; 14.730515; 28; 17.181472;
5; 8; 28; 16.731394; 15.174835; 28; 16.731394;
5; 9; 28; 48.402075; 48.475687; 28; 48.402075;
5; 5; 28; 45.703511; 46.071853; 28; 45.703511;
5; 12; 28; 11.496260; 18.188646; 28; 11.496260;
5; 17; 28; 45.812170; 10.437630; 36; 13.931286;
5; 13; 28; 13.608951; 16.797053; 28; 13.608951;
5; 15; 28; 45.945362; 19.055508; 36; 14.253621;
5; 11; 28; 39.611404; 17.016533; 37; 13.931286;
5; 7; 28; 18.039921; 48.043459; 49; 13.931286;
5; 0; 28; 15.629799; 10.437630; 52; 13.931286;
5; 10; 28; 17.806390; 11.014977; 49; 13.931286;
5; 6; 28; 11.496260; 45.712173; 28; 11.496260;



6; 0; 52; 18.133808; 13.931286; 28; 18.133808;
6; 7; 49; 48.164724; 13.931286; 28; 48.164724;
6; 10; 49; 19.352776; 13.931286; 28; 19.352776;
6; 11; 37; 16.383671; 13.931286; 28; 16.383671;
6; 17; 36; 46.175892; 13.931286; 28; 46.175892;
6; 15; 36; 47.204408; 14.253621; 88; 26.982263;
6; 2; 28; 10.788559; 6.809280; 28; 10.788559;
6; 19; 28; 16.364039; 17.181472; 28; 16.364039;
6; 8; 28; 16.193167; 16.731394; 28; 16.193167;
6; 9; 28; 48.283509; 48.402075; 51; 40.599054;
6; 5; 28; 45.450506; 45.703511; 40; 20.986205;
6; 12; 28; 46.732054; 11.496260; 40; 20.986205;
6; 4; 28; 7.331457; 44.002164; 28; 7.331457;
6; 13; 28; 16.654067; 13.608951; 28; 16.654067;
6; 1; 28; 46.044836; 48.143409; 51; 38.973090;
6; 18; 28; 38.422869; 45.964571; 43; 20.986205;
6; 3; 28; 17.375608; 16.598477; 28; 17.375608;
6; 16; 28; 7.331457; 46.236111; 28; 7.331457;
6; 14; 28; 11.838022; 10.280987; 28; 11.838022;
6; 6; 28; 45.208699; 11.496260; 28; 45.208699;



7; 15; 88; 13.511726; 26.982263; 28; 13.511726;
7; 9; 51; 48.459370; 40.599054; 28; 48.459370;
7; 1; 51; 46.297409; 38.973090; 28; 46.297409;
7; 18; 43; 16.908460; 20.986205; 28; 16.908460;
7; 5; 40; 46.273287; 20.986205; 28; 46.273287;
7; 12; 40; 45.946198; 20.986205; 28; 45.946198;
7; 2; 28; 10.209362; 10.788559; 28; 10.209362;
7; 19; 28; 16.104321; 16.364039; 28; 16.104321;
7; 8; 28; 14.840599; 16.193167; 28; 14.840599;
7; 7; 28; 45.330073; 48.164724; 28; 45.330073;
7; 10; 28; 38.202676; 19.352776; 28; 38.202676;
7; 11; 28; 19.091818; 16.383671; 28; 19.091818;
7; 4; 28; 45.996760; 7.331457; 36; 13.478088;
7; 13; 28; 16.388110; 16.654067; 51; 13.478088;
7; 17; 28; 0.515403; 46.175892; 28; 0.515403;
7; 0; 28; 0.515403; 18.133808; 28; 0.515403;
7; 3; 28; 44.436878; 17.375608; 52; 39.403457;
7; 16; 28; 17.345230; 7.331457; 49; 13.478088;
7; 14; 28; 17.422482; 11.838022; 49; 13.478088;
7; 6; 28; 45.330505; 45.208699; 36; 13.478088;



8; 3; 52; 45.203623; 39.403457; 28; 45.203623;
8; 13; 51; 17.474671; 13.478088; 28; 17.474671;
8; 16; 49; 18.448275; 13.478088; 28; 18.448275;
8; 14; 49; 17.593950; 13.478088; 28; 17.593950;
8; 4; 36; 46.186832; 13.478088; 28; 46.186832;
8; 6; 36; 45.178079; 13.478088; 28; 45.178079;
8; 2; 28; 7.739699; 10.209362; 28; 7.739699;
8; 19; 28; 15.892295; 16.104321; 28; 15.892295;
8; 8; 28; 14.811117; 14.840599; 28; 14.811117;
8; 7; 28; 48.359814; 45.330073; 28; 48.359814;
8; 10; 28; 46.056332; 38.202676; 39; 19.211165;
8; 11; 28; 45.686555; 19.091818; 39; 19.211165;
8; 15; 28; 7.048983; 13.511726; 28; 7.048983;
8; 9; 28; 44.980899; 48.459370; 47; 31.373346;
8; 17; 28; 45.233228; 0.515403; 39; 19.211165;
8; 0; 28; 16.791617; 0.515403; 28; 16.791617;
8; 1; 28; 39.851097; 46.297409; 43; 21.630712;
8; 18; 28; 18.137643; 16.908460; 28; 18.137643;
8; 5; 28; 7.048983; 46.273287; 28; 7.048983;
8; 12; 28; 13.070223; 45.946198; 28; 13.070223;



9; 9; 47; 14.841060; 31.373346; 28; 14.841060;
9; 1; 43; 45.444179; 21.630712; 47; 32.058940;
9; 10; 39; 46.048314; 19.211165; 42; 23.450000;
9; 17; 39; 45.754581; 19.211165; 42; 23.450000;
9; 11; 39; 46.186446; 19.211165; 42; 23.450000;
9; 6; 28; 10.870760; 45.178079; 28; 10.870760;
9; 2; 28; 4.676748; 7.739699; 28; 4.676748;
9; 19; 28; 15.564417; 15.892295; 28; 15.564417;
9; 8; 28; 16.183417; 14.811117; 28; 16.183417;
9; 7; 28; 49.062593; 48.359814; 28; 49.062593;
9; 3; 28; 3.747117; 45.203623; 28; 3.747117;
9; 13; 28; 46.061980; 17.474671; 28; 46.061980;
9; 15; 28; 46.072901; 7.048983; 53; 41.432968;
9; 16; 28; 39.839022; 18.448275; 44; 23.450000;
9; 14; 28; 18.583631; 17.593950; 28; 18.583631;
9; 0; 28; 16.686569; 16.791617; 28; 16.686569;
9; 4; 28; 3.747117; 46.186832; 28; 3.747117;
9; 18; 28; 17.524277; 18.137643; 28; 17.524277;
9; 5; 28; 17.937249; 7.048983; 28; 17.937249;
9; 12; 28; 47.172593; 13.070223; 28; 47.172593;



10; 15; 53; 45.415791; 41.432968; 28; 45.415791;
10; 1; 47; 46.125784; 32.058940; 28; 46.125784;
10; 16; 44; 16.355117; 23.450000; 28; 16.355117;
10; 11; 42; 3.540586; 23.450000; 28; 3.540586;
10; 10; 42; 37.464381; 23.450000; 28; 37.464381;
10; 17; 42; 17.980495; 23.450000; 28; 17.980495;
10; 2; 28; 4.186816; 4.676748; 28; 4.186816;
10; 19; 28; 14.589363; 15.564417; 28; 14.589363;
10; 8; 28; 17.283359; 16.183417; 28; 17.283359;
10; 7; 28; 48.696746; 49.062593; 28; 48.696746;
10; 3; 28; 46.180806; 3.747117; 41; 21.736156;
10; 13; 28; 45.574204; 46.061980; 41; 21.736156;
10; 9; 28; 3.540586; 14.841060; 28; 3.540586;
10; 6; 28; 10.201951; 10.870760; 28; 10.201951;
10; 14; 28; 45.880645; 18.583631; 28; 45.880645;
10; 0; 28; 18.037996; 16.686569; 28; 18.037996;
10; 4; 28; 47.065069; 3.747117; 46; 31.019603;
10; 18; 28; 17.776441; 17.524277; 28; 17.776441;
10; 5; 28; 19.357962; 17.937249; 28; 19.357962;
10; 12; 28; 45.257076; 47.172593; 45; 28.074066;



11; 4; 46; 45.841202; 31.019603; 41; 22.917976;
11; 12; 45; 46.522807; 28.074066; 41; 22.917976;
11; 3; 41; 45.858723; 21.736156; 41; 22.917976;
11; 13; 41; 47.854444; 21.736156; 118; 33.558464;
11; 10; 28; 11.019257; 37.464381; 28; 11.019257;
11; 17; 28; 10.310214; 17.980495; 28; 10.310214;
11; 2; 28; 6.555161; 4.186816; 28; 6.555161;
11; 19; 28; 15.993300; 14.589363; 28; 15.993300;
11; 8; 28; 15.650672; 17.283359; 28; 15.650672;
11; 7; 28; 48.498065; 48.696746; 28; 48.498065;
11; 15; 28; 11.019257; 45.415791; 28; 11.019257;
11; 1; 28; 46.042504; 46.125784; 28; 46.042504;
11; 9; 28; 45.801404; 3.540586; 53; 41.173350;
11; 6; 28; 17.183274; 10.201951; 28; 17.183274;
11; 14; 28; 48.147172; 45.880645; 44; 28.652677;
11; 0; 28; 17.041343; 18.037996; 28; 17.041343;
11; 16; 28; 36.392839; 16.355117; 50; 28.794608;
11; 18; 28; 18.612993; 17.776441; 28; 18.612993;
11; 5; 28; 19.081739; 19.357962; 28; 19.081739;
11; 11; 28; 16.625064; 3.540586; 28; 16.625064;



12; 13; 118; 19.091891; 33.558464; 28; 19.091891;
12; 9; 53; 47.128149; 41.173350; 28; 47.128149;
12; 16; 50; 46.653203; 28.794608; 40; 21.278941;
12; 14; 44; 46.111536; 28.652677; 40; 21.278941;
12; 12; 41; 45.862947; 22.917976; 115; 31.158450;
12; 3; 41; 39.336124; 22.917976; 131; 31.158450;
