Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
2; 96; 416.000000; 331.000000; 96; 416.000000;
17; 95; 60.000000; 503.000000; 95; 84.000000;
1; 76; 88.000000; 213.000000; 76; 88.000000;
7; 74; 496.000000; 190.000000; 74; 496.000000;
4; 63; 248.000000; 393.000000; 63; 248.000000;
19; 56; 458.000000; 410.000000; 56; 458.000000;
6; 55; 591.000000; 438.000000; 55; 591.000000;
10; 45; 92.000000; 203.000000; 45; 92.000000;
15; 44; 19.000000; 525.000000; 44; 19.000000;
18; 42; 386.000000; 94.000000; 42; 386.000000;
14; 36; 304.000000; 131.000000; 36; 304.000000;
16; 35; 52.000000; 7.000000; 35; 52.000000;
5; 33; 282.000000; 296.000000; 33; 282.000000;
0; 26; 151.000000; 275.000000; 26; 151.000000;
8; 20; 558.000000; 315.000000; 20; 558.000000;
12; 20; 347.000000; 399.000000; 20; 347.000000;
9; 19; 84.000000; 352.000000; 19; 84.000000;
11; 18; 419.000000; 13.000000; 18; 419.000000;
13; 13; 95.000000; 213.000000; 13; 95.000000;
3; 9; 152.000000; 21.000000; 9; 152.000000;



2; 96; 182.000000; 416.000000; 96; 182.000000;
17; 95; 517.000000; 84.000000; 95; 517.000000;
1; 76; 287.000000; 88.000000; 76; 287.000000;
7; 74; 187.000000; 496.000000; 74; 187.000000;
4; 63; 116.000000; 248.000000; 63; 116.000000;
19; 56; 271.000000; 458.000000; 56; 271.000000;
6; 55; 506.000000; 591.000000; 55; 506.000000;
10; 45; 45.000000; 92.000000; 45; 45.000000;
15; 44; 559.000000; 19.000000; 44; 559.000000;
18; 42; 198.000000; 386.000000; 42; 198.000000;
14; 36; 289.000000; 304.000000; 36; 289.000000;
16; 35; 557.000000; 52.000000; 35; 557.000000;
5; 33; 467.000000; 282.000000; 33; 467.000000;
0; 26; 45.000000; 151.000000; 26; 45.000000;
8; 20; 206.000000; 558.000000; 20; 206.000000;
12; 20; 101.000000; 347.000000; 20; 101.000000;
9; 19; 476.000000; 84.000000; 29; 254.084746;
11; 18; 173.000000; 419.000000; 18; 173.000000;
13; 13; 544.000000; 95.000000; 18; 241.559322;
3; 9; 188.000000; 152.000000; 14; 120.355932;



2; 96; 257.000000; 182.000000; 96; 257.000000;
17; 95; 188.000000; 517.000000; 95; 346.000000;
1; 76; 52.000000; 287.000000; 76; 52.000000;
7; 74; 485.000000; 187.000000; 74; 485.000000;
4; 63; 173.000000; 116.000000; 63; 173.000000;
19; 56; 47.000000; 271.000000; 56; 47.000000;
6; 55; 559.000000; 506.000000; 55; 559.000000;
10; 45; 138.000000; 45.000000; 45; 138.000000;
15; 44; 356.000000; 559.000000; 44; 356.000000;
18; 42; 112.000000; 198.000000; 42; 112.000000;
14; 36; 486.000000; 289.000000; 36; 486.000000;
16; 35; 152.000000; 557.000000; 35; 152.000000;
5; 33; 420.000000; 467.000000; 33; 420.000000;
9; 29; 23.000000; 254.084746; 19; 23.000000;
0; 26; 97.000000; 45.000000; 26; 97.000000;
12; 20; 214.000000; 101.000000; 20; 214.000000;
8; 20; 530.000000; 206.000000; 20; 530.000000;
11; 18; 500.000000; 173.000000; 18; 500.000000;
13; 18; 160.000000; 241.559322; 13; 160.000000;
3; 14; 215.000000; 120.355932; 9; 215.000000;



2; 96; 257.000000; 257.000000; 96; 257.000000;
17; 95; 188.000000; 346.000000; 95; 346.000000;
1; 76; 52.000000; 52.000000; 76; 52.000000;
7; 74; 485.000000; 485.000000; 74; 485.000000;
4; 63; 173.000000; 173.000000; 63; 173.000000;
19; 56; 47.000000; 47.000000; 56; 47.000000;
6; 55; 559.000000; 559.000000; 55; 559.000000;
10; 45; 138.000000; 138.000000; 45; 138.000000;
15; 44; 356.000000; 356.000000; 44; 356.000000;
18; 42; 112.000000; 112.000000; 42; 112.000000;
14; 36; 486.000000; 486.000000; 36; 486.000000;
16; 35; 152.000000; 152.000000; 35; 152.000000;
5; 33; 420.000000; 420.000000; 33; 420.000000;
0; 26; 530.000000; 97.000000; 26; 530.000000;
12; 20; 214.000000; 214.000000; 20; 214.000000;
8; 20; 23.000000; 530.000000; 20; 23.000000;
9; 19; 97.000000; 23.000000; 19; 97.000000;
11; 18; 500.000000; 500.000000; 18; 500.000000;
13; 13; 160.000000; 160.000000; 13; 160.000000;
3; 9; 215.000000; 215.000000; 9; 215.000000;



2; 96; 277.000000; 257.000000; 96; 277.000000;
17; 95; 481.000000; 346.000000; 95; 481.000000;
1; 76; 301.000000; 52.000000; 76; 301.000000;
7; 74; 450.000000; 485.000000; 74; 450.000000;
4; 63; 504.000000; 173.000000; 63; 504.000000;
19; 56; 21.000000; 47.000000; 56; 21.000000;
6; 55; 214.000000; 559.000000; 55; 214.000000;
10; 45; 51.000000; 138.000000; 45; 51.000000;
15; 44; 418.000000; 356.000000; 44; 418.000000;
18; 42; 237.000000; 112.000000; 42; 237.000000;
14; 36; 209.000000; 486.000000; 36; 209.000000;
16; 35; 355.000000; 152.000000; 35; 355.000000;
5; 33; 401.000000; 420.000000; 33; 401.000000;
0; 26; 17.000000; 530.000000; 26; 17.000000;
12; 20; 456.000000; 214.000000; 20; 456.000000;
8; 20; 584.000000; 23.000000; 28; 235.443038;
9; 19; 11.000000; 97.000000; 19; 11.000000;
11; 18; 587.000000; 500.000000; 31; 424.569620;
13; 13; 507.000000; 160.000000; 16; 153.037975;
3; 9; 467.000000; 215.000000; 11; 105.949367;



2; 96; 277.000000; 277.000000; 96; 277.000000;
17; 95; 481.000000; 481.000000; 95; 481.000000;
1; 76; 301.000000; 301.000000; 76; 301.000000;
7; 74; 450.000000; 450.000000; 74; 450.000000;
4; 63; 504.000000; 504.000000; 63; 504.000000;
19; 56; 21.000000; 21.000000; 56; 21.000000;
6; 55; 214.000000; 214.000000; 55; 214.000000;
10; 45; 51.000000; 51.000000; 45; 51.000000;
15; 44; 418.000000; 418.000000; 44; 418.000000;
18; 42; 237.000000; 237.000000; 42; 237.000000;
14; 36; 209.000000; 209.000000; 36; 209.000000;
16; 35; 355.000000; 355.000000; 35; 355.000000;
5; 33; 401.000000; 401.000000; 33; 401.000000;
11; 31; 587.000000; 424.569620; 68; 288.033113;
8; 28; 584.000000; 235.443038; 58; 260.158940;
0; 26; 17.000000; 17.000000; 26; 17.000000;
12; 20; 456.000000; 456.000000; 38; 410.403974;
9; 19; 11.000000; 11.000000; 19; 11.000000;
13; 16; 507.000000; 153.037975; 41; 314.198675;
3; 11; 467.000000; 105.949367; 16; 102.205298;



2; 96; 322.000000; 277.000000; 96; 322.000000;
17; 95; 263.000000; 481.000000; 95; 263.000000;
1; 76; 480.000000; 301.000000; 76; 480.000000;
7; 74; 343.000000; 450.000000; 74; 343.000000;
11; 68; 34.000000; 288.033113; 18; 34.000000;
4; 63; 511.000000; 504.000000; 63; 511.000000;
8; 58; 215.000000; 260.158940; 20; 215.000000;
19; 56; 320.000000; 21.000000; 56; 320.000000;
6; 55; 46.000000; 214.000000; 55; 46.000000;
10; 45; 133.000000; 51.000000; 45; 133.000000;
15; 44; 228.000000; 418.000000; 44; 228.000000;
18; 42; 217.000000; 237.000000; 42; 217.000000;
13; 41; 229.000000; 314.198675; 13; 229.000000;
12; 38; 1.000000; 410.403974; 20; 1.000000;
14; 36; 147.000000; 209.000000; 36; 147.000000;
16; 35; 26.000000; 355.000000; 35; 26.000000;
5; 33; 451.000000; 401.000000; 33; 451.000000;
0; 26; 459.000000; 17.000000; 26; 459.000000;
9; 19; 420.000000; 11.000000; 19; 420.000000;
3; 16; 527.000000; 102.205298; 110; 477.000000;



3; 110; 126.000000; 477.000000; 9; 477.000000;
2; 96; 146.000000; 322.000000; 96; 272.000000;
17; 95; 247.000000; 263.000000; 95; 247.000000;
1; 76; 208.000000; 480.000000; 76; 208.000000;
7; 74; 319.000000; 343.000000; 74; 319.000000;
4; 63; 528.000000; 511.000000; 63; 528.000000;
19; 56; 97.000000; 320.000000; 56; 97.000000;
6; 55; 256.000000; 46.000000; 55; 256.000000;
10; 45; 323.000000; 133.000000; 45; 323.000000;
15; 44; 309.000000; 228.000000; 44; 309.000000;
18; 42; 45.000000; 217.000000; 42; 45.000000;
14; 36; 384.000000; 147.000000; 36; 384.000000;
16; 35; 210.000000; 26.000000; 35; 210.000000;
5; 33; 70.000000; 451.000000; 33; 70.000000;
0; 26; 121.000000; 459.000000; 26; 121.000000;
12; 20; 409.000000; 1.000000; 20; 409.000000;
8; 20; 306.000000; 215.000000; 20; 306.000000;
9; 19; 551.000000; 420.000000; 19; 551.000000;
11; 18; 20.000000; 34.000000; 18; 20.000000;
13; 13; 170.000000; 229.000000; 13; 170.000000;



2; 96; 247.000000; 272.000000; 96; 272.000000;
17; 95; 208.000000; 247.000000; 95; 247.000000;
1; 76; 319.000000; 208.000000; 76; 319.000000;
7; 74; 20.000000; 319.000000; 74; 319.000000;
4; 63; 528.000000; 528.000000; 63; 528.000000;
19; 56; 306.000000; 97.000000; 56; 306.000000;
6; 55; 97.000000; 256.000000; 55; 211.000000;
10; 45; 256.000000; 323.000000; 45; 256.000000;
15; 44; 323.000000; 309.000000; 44; 323.000000;
18; 42; 309.000000; 45.000000; 42; 309.000000;
14; 36; 45.000000; 384.000000; 36; 45.000000;
16; 35; 170.000000; 210.000000; 35; 170.000000;
5; 33; 409.000000; 70.000000; 33; 409.000000;
0; 26; 384.000000; 121.000000; 26; 384.000000;
12; 20; 210.000000; 409.000000; 20; 210.000000;
8; 20; 70.000000; 306.000000; 20; 70.000000;
9; 19; 121.000000; 551.000000; 19; 121.000000;
11; 18; 551.000000; 20.000000; 18; 551.000000;
13; 13; 126.000000; 170.000000; 13; 126.000000;
3; 9; 146.000000; 477.000000; 9; 146.000000;



2; 96; 562.000000; 272.000000; 96; 562.000000;
17; 95; 479.000000; 247.000000; 95; 479.000000;
1; 76; 110.000000; 319.000000; 76; 110.000000;
7; 74; 166.000000; 319.000000; 74; 166.000000;
4; 63; 309.000000; 528.000000; 63; 309.000000;
19; 56; 303.000000; 306.000000; 56; 303.000000;
6; 55; 57.000000; 211.000000; 55; 57.000000;
10; 45; 497.000000; 256.000000; 45; 497.000000;
15; 44; 534.000000; 323.000000; 76; 396.558730;
18; 42; 358.000000; 309.000000; 42; 358.000000;
14; 36; 426.000000; 45.000000; 65; 344.990476;
16; 35; 483.000000; 170.000000; 57; 315.444444;
5; 33; 343.000000; 409.000000; 61; 297.419048;
0; 26; 367.000000; 384.000000; 42; 234.330159;
12; 20; 411.000000; 210.000000; 28; 180.253968;
8; 20; 223.000000; 70.000000; 36; 180.253968;
9; 19; 223.000000; 121.000000; 33; 171.241270;
11; 18; 533.000000; 551.000000; 23; 162.228571;
13; 13; 258.000000; 126.000000; 18; 117.165079;
3; 9; 347.000000; 146.000000; 11; 81.114286;



2; 96; 562.000000; 562.000000; 96; 562.000000;
17; 95; 479.000000; 479.000000; 95; 479.000000;
1; 76; 110.000000; 110.000000; 76; 110.000000;
15; 76; 534.000000; 396.558730; 234; 403.816561;
7; 74; 166.000000; 166.000000; 74; 166.000000;
14; 65; 426.000000; 344.990476; 36; 426.000000;
4; 63; 309.000000; 309.000000; 63; 309.000000;
5; 61; 343.000000; 297.419048; 33; 343.000000;
16; 57; 483.000000; 315.444444; 215; 456.280255;
19; 56; 303.000000; 303.000000; 110; 297.549045;
6; 55; 57.000000; 57.000000; 55; 57.000000;
10; 45; 497.000000; 497.000000; 87; 474.337580;
18; 42; 358.000000; 358.000000; 68; 223.161783;
0; 42; 367.000000; 234.330159; 108; 223.161783;
8; 36; 223.000000; 180.253968; 124; 191.281529;
9; 33; 223.000000; 171.241270; 105; 175.341401;
12; 28; 411.000000; 180.253968; 51; 148.774522;
11; 23; 533.000000; 162.228571; 34; 122.207643;
13; 18; 258.000000; 117.165079; 33; 95.640764;
3; 11; 347.000000; 81.114286; 15; 58.447134;



15; 234; 402.000000; 403.816561; 44; 402.000000;
16; 215; 149.000000; 456.280255; 35; 149.000000;
8; 124; 34.000000; 191.281529; 20; 34.000000;
19; 110; 537.000000; 297.549045; 56; 537.000000;
0; 108; 263.000000; 223.161783; 26; 263.000000;
9; 105; 591.000000; 175.341401; 22; 100.137885;
2; 96; 565.000000; 562.000000; 181; 505.959839;
17; 95; 405.000000; 479.000000; 95; 405.000000;
10; 87; 506.000000; 474.337580; 74; 332.858099;
1; 76; 309.000000; 110.000000; 76; 309.000000;
7; 74; 481.000000; 166.000000; 74; 481.000000;
