Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
13; 99; 258.000000; 388.000000; 99; 258.000000;
2; 97; 335.000000; 114.000000; 97; 335.000000;
1; 97; 424.000000; 508.000000; 97; 424.000000;
14; 83; 390.000000; 543.000000; 83; 390.000000;
15; 83; 364.000000; 256.000000; 83; 364.000000;
8; 79; 133.000000; 337.000000; 79; 133.000000;
10; 77; 365.000000; 464.000000; 77; 365.000000;
5; 77; 184.000000; 262.000000; 77; 184.000000;
12; 76; 460.000000; 239.000000; 76; 460.000000;
0; 70; 322.000000; 93.000000; 70; 322.000000;
6; 65; 592.000000; 58.000000; 97; 292.286652;
11; 64; 265.000000; 181.000000; 64; 265.000000;
7; 57; 351.000000; 366.000000; 102; 279.102845;
3; 57; 512.000000; 286.000000; 85; 256.312910;
9; 53; 72.000000; 102.000000; 53; 72.000000;
18; 49; 315.000000; 125.000000; 49; 315.000000;
4; 35; 471.000000; 11.000000; 52; 229.050328;
16; 34; 293.000000; 88.000000; 51; 152.888403;
17; 32; 458.000000; 312.000000; 42; 143.894967;
19; 11; 146.000000; 557.000000; 14; 49.463895;



7; 102; 471.000000; 279.102845; 57; 471.000000;
13; 99; 322.000000; 258.000000; 99; 322.000000;
1; 97; 370.000000; 424.000000; 97; 424.000000;
6; 97; 46.000000; 292.286652; 65; 67.000000;
2; 97; 293.000000; 335.000000; 97; 293.000000;
3; 85; 131.000000; 256.312910; 57; 131.000000;
15; 83; 148.000000; 364.000000; 83; 148.000000;
14; 83; 424.000000; 390.000000; 83; 424.000000;
8; 79; 397.000000; 133.000000; 79; 397.000000;
5; 77; 194.000000; 184.000000; 77; 194.000000;
10; 77; 335.000000; 365.000000; 77; 335.000000;
12; 76; 97.000000; 460.000000; 76; 97.000000;
0; 70; 512.000000; 322.000000; 70; 512.000000;
11; 64; 357.000000; 265.000000; 64; 357.000000;
9; 53; 35.000000; 72.000000; 53; 35.000000;
4; 52; 222.000000; 229.050328; 35; 222.000000;
16; 51; 200.000000; 152.888403; 34; 200.000000;
18; 49; 184.000000; 315.000000; 49; 184.000000;
17; 42; 300.000000; 143.894967; 32; 300.000000;
19; 14; 177.000000; 49.463895; 11; 177.000000;



13; 99; 293.000000; 322.000000; 99; 322.000000;
1; 97; 370.000000; 424.000000; 97; 416.000000;
2; 97; 148.000000; 293.000000; 97; 148.000000;
15; 83; 335.000000; 148.000000; 83; 335.000000;
14; 83; 194.000000; 424.000000; 83; 194.000000;
8; 79; 97.000000; 397.000000; 79; 97.000000;
5; 77; 512.000000; 194.000000; 77; 512.000000;
10; 77; 46.000000; 335.000000; 77; 46.000000;
12; 76; 357.000000; 97.000000; 76; 357.000000;
0; 70; 471.000000; 512.000000; 70; 471.000000;
6; 65; 424.000000; 67.000000; 65; 424.000000;
11; 64; 131.000000; 357.000000; 64; 131.000000;
7; 57; 322.000000; 471.000000; 57; 322.000000;
3; 57; 397.000000; 131.000000; 57; 397.000000;
9; 53; 35.000000; 35.000000; 53; 35.000000;
18; 49; 200.000000; 184.000000; 49; 200.000000;
4; 35; 184.000000; 222.000000; 35; 184.000000;
16; 34; 222.000000; 200.000000; 34; 222.000000;
17; 32; 300.000000; 300.000000; 32; 300.000000;
19; 11; 177.000000; 177.000000; 11; 177.000000;



13; 99; 322.000000; 322.000000; 99; 322.000000;
1; 97; 293.000000; 416.000000; 97; 368.000000;
2; 97; 370.000000; 148.000000; 97; 370.000000;
15; 83; 424.000000; 335.000000; 83; 424.000000;
14; 83; 148.000000; 194.000000; 83; 148.000000;
8; 79; 397.000000; 97.000000; 79; 397.000000;
5; 77; 335.000000; 512.000000; 77; 335.000000;
10; 77; 194.000000; 46.000000; 77; 194.000000;
12; 76; 97.000000; 357.000000; 76; 97.000000;
0; 70; 512.000000; 471.000000; 70; 512.000000;
6; 65; 46.000000; 424.000000; 65; 46.000000;
11; 64; 357.000000; 131.000000; 64; 357.000000;
7; 57; 471.000000; 322.000000; 57; 471.000000;
3; 57; 131.000000; 397.000000; 57; 131.000000;
9; 53; 35.000000; 35.000000; 53; 35.000000;
18; 49; 184.000000; 200.000000; 49; 184.000000;
4; 35; 222.000000; 184.000000; 35; 222.000000;
16; 34; 200.000000; 222.000000; 34; 200.000000;
17; 32; 300.000000; 300.000000; 32; 300.000000;
19; 11; 177.000000; 177.000000; 11; 177.000000;



13; 99; 322.000000; 322.000000; 99; 322.000000;
1; 97; 293.000000; 368.000000; 97; 368.000000;
2; 97; 370.000000; 370.000000; 97; 370.000000;
15; 83; 424.000000; 424.000000; 83; 424.000000;
14; 83; 148.000000; 148.000000; 83; 148.000000;
8; 79; 397.000000; 397.000000; 79; 397.000000;
5; 77; 335.000000; 335.000000; 77; 335.000000;
10; 77; 194.000000; 194.000000; 77; 194.000000;
12; 76; 97.000000; 97.000000; 76; 97.000000;
0; 70; 512.000000; 512.000000; 70; 512.000000;
6; 65; 46.000000; 46.000000; 65; 46.000000;
11; 64; 357.000000; 357.000000; 64; 357.000000;
7; 57; 471.000000; 471.000000; 57; 471.000000;
3; 57; 131.000000; 131.000000; 57; 131.000000;
9; 53; 35.000000; 35.000000; 53; 35.000000;
18; 49; 184.000000; 184.000000; 49; 184.000000;
4; 35; 222.000000; 222.000000; 35; 222.000000;
16; 34; 200.000000; 200.000000; 34; 200.000000;
17; 32; 300.000000; 300.000000; 32; 300.000000;
19; 11; 177.000000; 177.000000; 11; 177.000000;



13; 99; 322.000000; 322.000000; 99; 322.000000;
1; 97; 293.000000; 368.000000; 97; 368.000000;
2; 97; 370.000000; 370.000000; 97; 370.000000;
15; 83; 424.000000; 424.000000; 83; 424.000000;
14; 83; 148.000000; 148.000000; 83; 148.000000;
8; 79; 397.000000; 397.000000; 79; 397.000000;
5; 77; 335.000000; 335.000000; 77; 335.000000;
10; 77; 194.000000; 194.000000; 77; 194.000000;
12; 76; 97.000000; 97.000000; 76; 97.000000;
0; 70; 512.000000; 512.000000; 70; 512.000000;
6; 65; 46.000000; 46.000000; 65; 46.000000;
11; 64; 357.000000; 357.000000; 64; 357.000000;
7; 57; 471.000000; 471.000000; 57; 471.000000;
3; 57; 131.000000; 131.000000; 57; 131.000000;
9; 53; 35.000000; 35.000000; 53; 35.000000;
18; 49; 184.000000; 184.000000; 49; 184.000000;
4; 35; 222.000000; 222.000000; 35; 222.000000;
16; 34; 200.000000; 200.000000; 34; 200.000000;
17; 32; 300.000000; 300.000000; 32; 300.000000;
19; 11; 177.000000; 177.000000; 11; 177.000000;



13; 99; 322.000000; 322.000000; 99; 322.000000;
1; 97; 293.000000; 368.000000; 97; 368.000000;
2; 97; 370.000000; 370.000000; 97; 370.000000;
15; 83; 424.000000; 424.000000; 83; 424.000000;
