Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
7; 98; 352.000000; 545.000000; 98; 352.000000;
9; 97; 199.000000; 164.000000; 97; 199.000000;
15; 96; 262.000000; 42.000000; 96; 262.000000;
5; 82; 524.000000; 64.000000; 82; 524.000000;
14; 81; 112.000000; 366.000000; 81; 112.000000;
18; 76; 205.000000; 188.000000; 76; 205.000000;
11; 74; 24.000000; 35.000000; 74; 24.000000;
16; 65; 145.000000; 150.000000; 65; 145.000000;
0; 59; 449.000000; 96.000000; 59; 449.000000;
2; 59; 90.000000; 141.000000; 59; 90.000000;
4; 50; 338.000000; 84.000000; 50; 338.000000;
10; 45; 165.000000; 463.000000; 45; 165.000000;
13; 45; 253.000000; 426.000000; 45; 253.000000;
19; 40; 281.000000; 489.000000; 40; 281.000000;
8; 24; 84.000000; 313.000000; 24; 84.000000;
1; 17; 219.000000; 426.000000; 17; 219.000000;
12; 15; 594.000000; 25.000000; 28; 522.857143;
6; 10; 407.000000; 369.000000; 18; 348.571429;
17; 10; 507.000000; 402.000000; 16; 348.571429;
3; 7; 350.000000; 378.000000; 11; 244.000000;



7; 98; 449.000000; 352.000000; 98; 449.000000;
9; 97; 196.000000; 199.000000; 97; 196.000000;
15; 96; 459.000000; 262.000000; 96; 459.000000;
5; 82; 219.000000; 524.000000; 82; 219.000000;
14; 81; 76.000000; 112.000000; 81; 76.000000;
18; 76; 217.000000; 205.000000; 76; 217.000000;
11; 74; 90.000000; 24.000000; 74; 90.000000;
16; 65; 141.000000; 145.000000; 65; 141.000000;
0; 59; 259.000000; 449.000000; 59; 259.000000;
2; 59; 350.000000; 90.000000; 59; 350.000000;
4; 50; 478.000000; 338.000000; 50; 478.000000;
10; 45; 107.000000; 165.000000; 45; 107.000000;
13; 45; 338.000000; 253.000000; 45; 338.000000;
19; 40; 384.000000; 281.000000; 40; 384.000000;
12; 28; 14.000000; 522.857143; 15; 14.000000;
8; 24; 150.000000; 84.000000; 24; 150.000000;
6; 18; 482.000000; 348.571429; 54; 359.709677;
1; 17; 524.000000; 219.000000; 28; 339.725806;
17; 16; 407.000000; 348.571429; 51; 319.741935;
3; 11; 369.000000; 244.000000; 28; 219.822581;



7; 98; 449.000000; 449.000000; 98; 449.000000;
9; 97; 196.000000; 196.000000; 97; 196.000000;
15; 96; 459.000000; 459.000000; 96; 459.000000;
5; 82; 219.000000; 219.000000; 82; 219.000000;
14; 81; 76.000000; 76.000000; 81; 76.000000;
18; 76; 217.000000; 217.000000; 76; 217.000000;
11; 74; 90.000000; 90.000000; 74; 90.000000;
16; 65; 141.000000; 141.000000; 65; 141.000000;
0; 59; 259.000000; 259.000000; 59; 259.000000;
2; 59; 350.000000; 350.000000; 59; 350.000000;
6; 54; 14.000000; 359.709677; 10; 14.000000;
17; 51; 407.000000; 319.741935; 10; 407.000000;
4; 50; 478.000000; 478.000000; 50; 478.000000;
10; 45; 107.000000; 107.000000; 45; 107.000000;
13; 45; 338.000000; 338.000000; 45; 338.000000;
19; 40; 384.000000; 384.000000; 40; 384.000000;
1; 28; 482.000000; 339.725806; 17; 482.000000;
3; 28; 369.000000; 219.822581; 107; 208.955224;
8; 24; 524.000000; 150.000000; 32; 179.104478;
12; 15; 150.000000; 14.000000; 26; 111.940299;


